producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,climate_change,kt CO2eq,263.56770753446403,100.0
Denmark,Operational impact,Scope 1,climate_change,kt CO2eq,131.0762816237094,100.0
Denmark,Electricity,Scope 2,climate_change,kt CO2eq,58.513105531321685,79.78166992187239
Europe,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,4.82078068347456,6.573056236928435
Denmark,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,4.194322696580718,5.718890937096053
Europe,Electricity,Scope 2,climate_change,kt CO2eq,3.0115054133530736,4.1061387645449035
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.9693380785071491,1.321676740961258
Asia and Pacific,Electricity,Scope 2,climate_change,kt CO2eq,0.7946997200240707,1.0835601729603275
Middle East,Electricity,Scope 2,climate_change,kt CO2eq,0.4391635493597384,0.5987923734107973
America,Electricity,Scope 2,climate_change,kt CO2eq,0.33163602794058966,0.45218034276430474
Africa,Electricity,Scope 2,climate_change,kt CO2eq,0.15867662159390392,0.2163529987576228
Middle East,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.10802713373407273,0.1472932439308709
Africa,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,0.0002645246474083415,0.0003606750643996331
America,"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,2.0236184086469234e-05,2.759170863697734e-05
Denmark,Private travel,Scope 3,climate_change,kt CO2eq,363.7266,8.571283507008143
Europe,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,305.09504903744465,7.189620340894754
Europe,Transport,Scope 3,climate_change,kt CO2eq,291.87408195160845,6.878065846036459
Europe,Chemical,Scope 3,climate_change,kt CO2eq,207.88135581081562,4.89876197252479
Asia and Pacific,Transport,Scope 3,climate_change,kt CO2eq,181.48795406552568,4.276796658266104
Europe,Food and catering,Scope 3,climate_change,kt CO2eq,178.77902906111987,4.2129603476636195
Europe,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,161.13585778542443,3.7971958064761226
Asia and Pacific,Food and catering,Scope 3,climate_change,kt CO2eq,153.43959749107935,3.615832032348628
Denmark,Transport,Scope 3,climate_change,kt CO2eq,134.78024825182243,3.1761210725619424
Asia and Pacific,Electricity,Scope 3,climate_change,kt CO2eq,134.49358066892927,3.1693656988135115
Denmark,Food and catering,Scope 3,climate_change,kt CO2eq,122.53282591957637,2.887508336952988
America,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,112.7749981304002,2.6575633497191937
Asia and Pacific,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,103.88527548592322,2.448075418167082
Europe,Electricity,Scope 3,climate_change,kt CO2eq,97.38600004296141,2.294918809847092
Denmark,"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,96.58709368729991,2.2760924362194133
Denmark,Waste management and disposal,Scope 3,climate_change,kt CO2eq,84.9099619794463,2.000918702935437
Asia and Pacific,Chemical,Scope 3,climate_change,kt CO2eq,83.96523288345685,1.9786559899003027
Middle East,Transport,Scope 3,climate_change,kt CO2eq,77.58436427569595,1.8282896601952796
Africa,Food and catering,Scope 3,climate_change,kt CO2eq,74.15170743905115,1.7473984772871496
Denmark,Services,Scope 3,climate_change,kt CO2eq,68.61850916593522,1.6170076532468827
Europe,Waste management and disposal,Scope 3,climate_change,kt CO2eq,68.13784828857165,1.6056807922182683
Europe,Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,66.13056375711159,1.5583787670202867
Denmark,Chemical,Scope 3,climate_change,kt CO2eq,64.84555738670147,1.5280973581018942
Europe,Minerals and Metals,Scope 3,climate_change,kt CO2eq,59.748004087645704,1.4079725871385065
Africa,Coal and Petroleum,Scope 3,climate_change,kt CO2eq,45.581789321575464,1.0741431587129993
