producing_country_iso3,producing_country_name,producing_world_region,scope,indicator,unit,value,share_of_scope_pct
DNK,Denmark,Denmark,Outside protocol,climate_change,kt CO2eq,263.56770753446403,100.0
DNK,Denmark,Denmark,Scope 1,climate_change,kt CO2eq,131.0762816237094,100.0
DNK,Denmark,Denmark,Scope 2,climate_change,kt CO2eq,62.7074282279024,85.50056085896844
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Scope 2,climate_change,kt CO2eq,1.7515925630858735,2.388268037335995
DEU,Germany,Europe,Scope 2,climate_change,kt CO2eq,1.745114465623376,2.379435256563523
RoW Europe,RoW Europe,Europe,Scope 2,climate_change,kt CO2eq,1.1754065499029818,1.602647757914146
GRC,Greece,Europe,Scope 2,climate_change,kt CO2eq,0.7811636669884818,1.0651039842907268
CZE,Czech Republic,Europe,Scope 2,climate_change,kt CO2eq,0.5916397874069076,0.8066912498137314
ITA,Italy,Europe,Scope 2,climate_change,kt CO2eq,0.5531139798955613,0.7541619364157525
GBR,United Kingdom,Europe,Scope 2,climate_change,kt CO2eq,0.5084867220285755,0.6933133944637915
RUS,Russia,Europe,Scope 2,climate_change,kt CO2eq,0.4405547567847128,0.600689262160152
POL,Poland,Europe,Scope 2,climate_change,kt CO2eq,0.4014141251635135,0.5473216460649071
NOR,Norway,Europe,Scope 2,climate_change,kt CO2eq,0.35100504422357265,0.47858968217243336
RoW Middle East,RoW Middle East,Middle East,Scope 2,climate_change,kt CO2eq,0.3439352047185066,0.46895007072689365
TUR,Turkey,Middle East,Scope 2,climate_change,kt CO2eq,0.20325335345172568,0.27713264931595505
NLD,Netherlands,Europe,Scope 2,climate_change,kt CO2eq,0.17181197763682998,0.23426284357968633
CAN,Canada,America,Scope 2,climate_change,kt CO2eq,0.16888021442304696,0.23026543201030858
FIN,Finland,Europe,Scope 2,climate_change,kt CO2eq,0.16125360385852014,0.21986667225970813
HRV,Croatia,Europe,Scope 2,climate_change,kt CO2eq,0.15990405836861724,0.218026588882791
SWE,Sweden,Europe,Scope 2,climate_change,kt CO2eq,0.15546401957142067,0.21197266802964768
RoW Africa,RoW Africa,Africa,Scope 2,climate_change,kt CO2eq,0.14810794385468457,0.201942778154143
HUN,Hungary,Europe,Scope 2,climate_change,kt CO2eq,0.13812589897448493,0.18833242193486655
RoW America,RoW America,America,Scope 2,climate_change,kt CO2eq,0.13598145210982338,0.1854085034320306
BEL,Belgium,Europe,Scope 2,climate_change,kt CO2eq,0.13114128551381016,0.1788090148179236
ESP,Spain,Europe,Scope 2,climate_change,kt CO2eq,0.09524892524287268,0.1298703640002872
SVK,Slovakia,Europe,Scope 2,climate_change,kt CO2eq,0.0678884919603646,0.09256485718701443
SVN,Slovenia,Europe,Scope 2,climate_change,kt CO2eq,0.05830969160778824,0.07950431833785551
EST,Estonia,Europe,Scope 2,climate_change,kt CO2eq,0.05497254228174138,0.07495416938245354
BRA,Brazil,America,Scope 2,climate_change,kt CO2eq,0.02677893254263228,0.03651263999024523
AUT,Austria,Europe,Scope 2,climate_change,kt CO2eq,0.022797812501358546,0.031084447414101206
BGR,Bulgaria,Europe,Scope 2,climate_change,kt CO2eq,0.020249926014303626,0.027610445532594455
IRL,Ireland,Europe,Scope 2,climate_change,kt CO2eq,0.017169874823059945,0.023410845712162183
LVA,Latvia,Europe,Scope 2,climate_change,kt CO2eq,0.016583424536443767,0.02261123026246854
AUS,Australia,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.01231537798917595,0.016791818051249734
ZAF,South Africa,Africa,Scope 2,climate_change,kt CO2eq,0.010833202386627683,0.014770895667879405
PRT,Portugal,Europe,Scope 2,climate_change,kt CO2eq,0.004706386794064414,0.00641708202494418
CHE,Switzerland,Europe,Scope 2,climate_change,kt CO2eq,0.002901008513798339,0.003955478034993518
LTU,Lithuania,Europe,Scope 2,climate_change,kt CO2eq,0.0020954015992117056,0.0028570460792340675
FRA,France,Europe,Scope 2,climate_change,kt CO2eq,0.002031271386750941,0.002769605575160574
LUX,Luxembourg,Europe,Scope 2,climate_change,kt CO2eq,0.001727890102610397,0.0023559501170885653
CHN,China,Asia and Pacific,Scope 2,climate_change,kt CO2eq,0.00011854767040875446,0.00016163782497402053
MEX,Mexico,America,Scope 2,climate_change,kt CO2eq,1.5198807333652593e-05,2.0723327174123668e-05
TWN,Taiwan,Asia and Pacific,Scope 2,climate_change,kt CO2eq,1.1309785761536315e-05,1.542070936622873e-05
