model,consuming_country_iso3,analysis_year,indicator,unit,component,footprint,expenditure_meur,total_intensity_per_meur,direct_intensity_per_meur
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,healthcare_services,2309.195495682233,37552.28493467391,0.06149280928442351,0.011416797798203794
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,pharmaceuticals,954.8201831417874,1950.3076778321415,0.4895741292487321,0.10262293844783586
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,medical_appliances,151.35159062198903,1094.3850475832037,0.1382982990824188,0.05454749456461649
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,material_extraction,kt,healthcare_services,2272.1107283035326,37552.28493467391,0.06050525906096273,0.02595273686133306
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,material_extraction,kt,pharmaceuticals,1113.9226792976915,1950.3076778321415,0.5711522812317843,0.076282011239423
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,material_extraction,kt,medical_appliances,80.31089760809246,1094.3850475832037,0.07338449824899183,1.7638216660690087e-05
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,blue_water_consumption,Mm3,healthcare_services,43.72469245665546,37552.28493467391,0.001164368360879214,0.00010623343257149829
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,blue_water_consumption,Mm3,pharmaceuticals,29.704601817679517,1950.3076778321415,0.015230725979963108,0.0010539838118159644
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,blue_water_consumption,Mm3,medical_appliances,1.1306073869159539,1094.3850475832037,0.001033098349993672,3.28738712853174e-05
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,land_use,km2,healthcare_services,2987.754882060502,37552.28493467391,0.07956253227354904,0.0086957933212196
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,land_use,km2,pharmaceuticals,1065.8764114352919,1950.3076778321415,0.5465170565395423,4.245385132263492e-05
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,land_use,km2,medical_appliances,61.98016165542883,1094.3850475832037,0.05663469342193897,3.8944055713406216e-07
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,waste_generation,kt,healthcare_services,120.13879746092242,37552.28493467391,0.003199240676563791,0.001390367935715403
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,waste_generation,kt,pharmaceuticals,54.620983531630245,1950.3076778321415,0.02800634184671007,0.017088863902811054
EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,waste_generation,kt,medical_appliances,3.576306938721686,1094.3850475832037,0.0032678689704500803,0.00020191381215913548
