method,model,consuming_country_iso3,analysis_year,sector_group,value,indicator,unit,layer
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Chemical,100.15266062601107,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Coal and Petroleum,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Construction,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,"Electrical, electronic and measuring equipment",571.3200571626439,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Electricity,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Food and catering,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Furniture and timber,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,General and special Machinery,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Metal Products,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Minerals and Metals,0.0,climate_change,kt CO2eq,0
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.10.2 IOT_2022_ixi (screened),DNK,2022,Natural gas and gaseous fuels,0.0,climate_change,kt CO2eq,0
