indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.056230039305757,5.440229867435295
blue_water_consumption,Mm3,imported,70.50367162194516,94.55977013256471
climate_change,kt CO2eq,domestic,775.3896508441128,22.702965440372246
climate_change,kt CO2eq,imported,2639.977618601896,77.29703455962775
land_use,km2,domestic,372.6031115380696,9.05340835981269
land_use,km2,imported,3743.008343613153,90.94659164018731
material_extraction,kt,domestic,1673.4743866686645,48.277788913055225
material_extraction,kt,imported,1792.869918540652,51.722211086944775
nox,kt,domestic,3.4332451443766954,23.24348523266109
nox,kt,imported,11.337539486287884,76.75651476733891
particulate_matter,kt,domestic,0.34642272900663607,16.629192403258788
particulate_matter,kt,imported,1.7367976740404074,83.37080759674122
reactive_nitrogen_water,kt,domestic,0.7594213072316508,20.14530537374501
reactive_nitrogen_water,kt,imported,3.0102972110162285,79.85469462625498
so2,kt,domestic,6.506971496145296,43.181544820663035
so2,kt,imported,8.561899993212835,56.81845517933696
waste_generation,kt,domestic,72.50286051245487,40.655181659247454
waste_generation,kt,imported,105.83322741881949,59.344818340752546
