release,table_year,exiobase_output_meur,national_accounts_output_meur,ratio_exiobase_over_dst,assessment,unit,exiobase_industry,dst_industries
v3.8.2,2016,37163.1126893,36639.50881104604,1.014290690438953,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.9.4,2016,41030.0719291,36639.50881104604,1.119831385859908,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.9.5,2016,41030.0719291,36639.50881104604,1.119831385859908,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.9.6,2016,41030.0719291,36639.50881104604,1.119831385859908,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.10.1,2016,36755.9612004,36639.50881104604,1.0031783283437155,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.10.2,2016,36755.9612004,36639.50881104604,1.0031783283437155,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.8.2,2017,38298.0879417,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.9.6,2017,39004.5917166,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.10.2,2017,40228.8421386,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.8.2,2018,17589.8331399,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.9.6,2018,38956.1945033,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.10.2,2018,43969.4898896,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.8.2,2019,18645.6246687,39059.0134051873,0.4773706001038862,defective: health industry far below the national accounts,M.EUR,Health and social work,86;87;88
v3.9.4,2019,41883.394491,39059.0134051873,1.072310610012428,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.9.5,2019,41883.394491,39059.0134051873,1.072310610012428,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.9.6,2019,41883.394491,39059.0134051873,1.072310610012428,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.10.1,2019,42868.152054,39059.0134051873,1.097522653972279,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.10.2,2019,42868.152054,39059.0134051873,1.097522653972279,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.8.2,2020,42833.9003079,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.9.6,2020,43614.8880269,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.10.2,2020,46952.5371478,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.8.2,2021,42027.9668449,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.9.6,2021,30433.7676274,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.10.2,2021,16335.5570832,,,not assessable: no DST table for this year,M.EUR,Health and social work,86;87;88
v3.8.2,2022,43955.4580076,45320.98661218329,0.9698698394130677,agrees with the national accounts within 15 %,M.EUR,Health and social work,86;87;88
v3.9.4,2022,31744.9425149,45320.98661218329,0.7004468544902828,defective: health industry far below the national accounts,M.EUR,Health and social work,86;87;88
v3.9.5,2022,31744.9425149,45320.98661218329,0.7004468544902828,defective: health industry far below the national accounts,M.EUR,Health and social work,86;87;88
v3.9.6,2022,31744.9425149,45320.98661218329,0.7004468544902828,defective: health industry far below the national accounts,M.EUR,Health and social work,86;87;88
v3.10.1,2022,16326.113359,45320.98661218329,0.3602329644476711,defective: health industry far below the national accounts,M.EUR,Health and social work,86;87;88
v3.10.2,2022,16326.113359,45320.98661218329,0.3602329644476711,defective: health industry far below the national accounts,M.EUR,Health and social work,86;87;88
