quantity,value,unit,source
"DK health + residential care, consumption of fixed capital",2273.509328458519,M.EUR,"Statistics Denmark NABK69, P.51c, V86000 + V87880, 2022"
"DK health + residential care, gross fixed capital formation",3200.306468089682,M.EUR,"Statistics Denmark NABK69, P.51g"
"EXIOBASE CFC, DK health and social work industry",1269.37115286,M.EUR,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
ratio national accounts / EXIOBASE CFC,1.7910516741585873,-,derived
CFC not mapped by the asset bridge,0.0,M.EUR,derived
capital demand vector total,2273.509328458519,M.EUR,derived
spectral radius of A (baseline),0.9728905553730656,-,productivity check; must be < 1
spectral radius of A' (endogenised),0.9728905651596592,-,"productivity check; must be < 1. Note rho barely moves: EXIOBASE's dominant eigenvector is concentrated (|v|=0.997) on 'Cultivation of paddy rice', a near-unit-column industry with no capital coefficient, so rho is not informative about the augmentation. The inverse verification below is."
"max deviation of (I-A')L' from I, 12 sampled columns",2.142730437526552e-14,-,inverse verification
most negative element of L',-0.0,-,must be >= 0 for an economically meaningful inverse
