country_consuming,analysis_year,method,indicator,unit,sheet,n_nonzero_factors,healthcare_supply_chain,national_supply_chain,healthcare_share_of_national_pct,healthcare_per_capita,component,model,sector_consuming,quality_flag,quality_note
DNK,2022,Value Added,Value Added,M.EUR,Q_factorinputs,8,11962.972792590077,285935.7087947619,4.183798114273591,0.0020367984568769263,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,Employment,Employment,1000 p.,Q_factorinputs,6,339.9218761801999,5247.941973951477,6.477241514243596,5.787460732932429e-05,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,Employment hour,Employment hour,M.hr,Q_factorinputs,6,701.1310439716864,10634.286738072416,6.5931177260956035,0.00011937355816060939,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,"Problem oriented approach: baseline (CML, 1999)",global warming GWP100,kg CO2 eq.,Q_emissions,22,3822301605.9815235,66508474417.819916,5.747089584357384,650.7795468366852,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 min,kg CO2 eq.,Q_emissions,66,3853302908.425187,67307128726.82942,5.724955114433837,656.0577837827343,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,"Problem oriented approach: non baseline (CML, 1999)",global warming net GWP100 max,kg CO2 eq.,Q_emissions,66,3898001748.550493,68316470855.74068,5.7058008116104855,663.6681436966014,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,"Problem oriented approach: non baseline (CML, 1999)",global warming GWP20 ,kg CO2 eq.,Q_emissions,22,5274149486.147917,91198442813.75731,5.783157391095618,897.9690684725282,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,"Problem oriented approach: non baseline (CML, 1999)",global warming GWP500 ,kg CO2 eq.,Q_emissions,22,3178922634.569097,54946391167.35807,5.785498495955082,541.2387730775421,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
DNK,2022,"Problem oriented approach: baseline (CML, 1999)",ozone layer depletion ODP steady state ,kg CFC-11 eq.,Q_emissions,48,242.86159439848268,1877.7313507744827,12.933777470260205,4.134926404011337e-05,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,WRONG_STRESSOR_CLASS,"WRONG STRESSOR CLASS: the row characterises only NMVOC (48 stressors, CF about 2.3e-5), but NMVOC drives tropospheric ozone FORMATION, not stratospheric ozone DEPLETION. EXIOBASE contains no CFC, halon or HCFC stressor, so ozone depletion is not computable from this satellite account at all - IMPACT World+ v2.2.1 correctly returns zero for it."
DNK,2022,"Problem oriented approach: baseline (CML, 1999)",human toxicity HTP inf. ,"kg 1,4-dichlorobenzene eq.",Q_emissions,258,22877688607.894882,528370681448.9626,4.329855802210087,3895.122195908837,supply chain (MRIO) only; the Danish direct operational component is national primary data and has a full stressor profile only for climate and waste,EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),health_and_eldercare,ok,
