method,indicator,unit,producing_sector_group,value
Damage Approach,"EPS (Steen, 1999))",elu,Chemical,175687614.1292201
Damage Approach,"EPS (Steen, 1999))",elu,Coal and Petroleum,136673739.4877235
Damage Approach,"EPS (Steen, 1999))",elu,Construction,599310.069281383
Damage Approach,"EPS (Steen, 1999))",elu,"Electrical, electronic and measuring equipment",23910474.73740865
Damage Approach,"EPS (Steen, 1999))",elu,Electricity,60144419.2946494
Damage Approach,"EPS (Steen, 1999))",elu,Food and catering,131945352.32971737
Damage Approach,"EPS (Steen, 1999))",elu,Furniture and timber,2360246.6917776233
Damage Approach,"EPS (Steen, 1999))",elu,General and special Machinery,3034354.840670238
Damage Approach,"EPS (Steen, 1999))",elu,Metal Products,1822548724.533719
Damage Approach,"EPS (Steen, 1999))",elu,Minerals and Metals,28039509.19310056
Damage Approach,"EPS (Steen, 1999))",elu,Natural gas and gaseous fuels,11856665.217619322
Damage Approach,"EPS (Steen, 1999))",elu,Non-metallic mineral products,12513490.759303123
Damage Approach,"EPS (Steen, 1999))",elu,Paper Products,7468241.126316075
Damage Approach,"EPS (Steen, 1999))",elu,Services,36526633.021545365
Damage Approach,"EPS (Steen, 1999))",elu,"Steam, hot water supply and water distribution",38890971.4766302
Damage Approach,"EPS (Steen, 1999))",elu,Textile,6610230.736643208
Damage Approach,"EPS (Steen, 1999))",elu,Transport,153172411.7693872
Damage Approach,"EPS (Steen, 1999))",elu,Transport Equipment,2017494.665782757
Damage Approach,"EPS (Steen, 1999))",elu,Waste management and disposal,26688161.33184875
Domestic Extraction,Domestic Extraction,kt,Chemical,325.4115823689554
Domestic Extraction,Domestic Extraction,kt,Coal and Petroleum,6.377091565183017
Domestic Extraction,Domestic Extraction,kt,Construction,4.493240555313431
Domestic Extraction,Domestic Extraction,kt,"Electrical, electronic and measuring equipment",2.8616099226398943
Domestic Extraction,Domestic Extraction,kt,Electricity,9.431339418925278
Domestic Extraction,Domestic Extraction,kt,Food and catering,47.97620685590375
Domestic Extraction,Domestic Extraction,kt,Furniture and timber,0.4384473292691213
Domestic Extraction,Domestic Extraction,kt,General and special Machinery,0.4956954084827886
Domestic Extraction,Domestic Extraction,kt,Metal Products,5.418350408337063
Domestic Extraction,Domestic Extraction,kt,Minerals and Metals,3610.5056967447094
Domestic Extraction,Domestic Extraction,kt,Natural gas and gaseous fuels,12.29452956623638
Domestic Extraction,Domestic Extraction,kt,Non-metallic mineral products,140.77496386913506
Domestic Extraction,Domestic Extraction,kt,Paper Products,1.4631074904582053
Domestic Extraction,Domestic Extraction,kt,Services,33.2605720922074
Domestic Extraction,Domestic Extraction,kt,"Steam, hot water supply and water distribution",7.437769120356814
Domestic Extraction,Domestic Extraction,kt,Textile,0.13994744212607182
Domestic Extraction,Domestic Extraction,kt,Transport,22.310242417303552
Domestic Extraction,Domestic Extraction,kt,Transport Equipment,0.16260023545309235
Domestic Extraction,Domestic Extraction,kt,Waste management and disposal,2.4961297291479134
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Chemical,21.481017697105187
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Coal and Petroleum,21.16942222667296
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Construction,0.03265111684637368
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,"Electrical, electronic and measuring equipment",0.738916417363755
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Electricity,5.941404478026874
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Food and catering,10.788420897371575
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Furniture and timber,0.09226826422953373
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,General and special Machinery,0.2863114643369483
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Metal Products,174.61776565244102
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Minerals and Metals,1.9120643178927832
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Natural gas and gaseous fuels,0.06971752841332003
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Non-metallic mineral products,0.23035973924354194
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Paper Products,0.736345404895001
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Services,3.2628235395422482
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,"Steam, hot water supply and water distribution",2.4228123916181183
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Textile,0.10705364601940767
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Transport,1552.603748701693
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Transport Equipment,0.18020921405532342
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,Waste management and disposal,0.5736935770919784
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Chemical,18082876.930156592
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Coal and Petroleum,7242697.923087393
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Construction,23524.548904422587
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,"Electrical, electronic and measuring equipment",978894.1494149243
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Electricity,2070480.9880217058
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Food and catering,6614679.198781427
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Furniture and timber,93224.39059631874
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,General and special Machinery,255985.6968073438
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Metal Products,152606693.07878515
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Minerals and Metals,1792911.721557357
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Natural gas and gaseous fuels,58019.129059927836
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Non-metallic mineral products,211210.7939449886
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Paper Products,668324.8530758355
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Services,2759564.1701879515
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,"Steam, hot water supply and water distribution",861269.2714872337
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Textile,86096.87715088
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Transport,142093246.6740112
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Transport Equipment,162287.4178654707
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,Waste management and disposal,525253.9782948067
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Chemical,16099084.319317859
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Coal and Petroleum,4830470.327195139
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Construction,62460.25012494362
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,"Electrical, electronic and measuring equipment",495019.2477024522
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,Electricity,7386041.657759813
