method,indicator,unit,quality_flag,origin,value,share_of_total_pct
Damage Approach,"EPS (Steen, 1999))",elu,ok,domestic,331330030.10034984,12.414416241782265
Damage Approach,"EPS (Steen, 1999))",elu,ok,imported,2337583462.466601,87.58558375821774
Domestic Extraction,Domestic Extraction,kt,ok,domestic,1946.3982150722306,45.997471517281085
Domestic Extraction,Domestic Extraction,kt,ok,imported,2285.1348472200652,54.00252848271892
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,ok,domestic,190.9695491081493,11.317674543363108
ECOINDICATOR 99 (E.E),Carcinogenic effects on humans (E.E),DALY,ok,imported,1496.3872340937264,88.68232545663689
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,ok,domestic,25624371.648875717,7.837830651451578
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)),PDF*m2*yr,ok,imported,301307566.3884694,92.16216934854842
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,ok,domestic,49786625.98071975,21.146728006525365
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E),PDF*m2*yr,ok,imported,185647555.44610345,78.85327199347464
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,ok,domestic,134.5073656074406,17.98175029351869
ECOINDICATOR 99 (E.E),Damages to human health caused by climate change (E.E),DALY,ok,imported,613.514175187296,82.0182497064813
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,ok,domestic,957.0431516556746,30.184112182665793
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by inorganic substances (E.E),DALY,ok,imported,2213.6419619693925,69.8158878173342
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,ok,domestic,361.9265039096014,16.51041346998653
ECOINDICATOR 99 (E.E),Respiratory effects on humans caused by organic substances (E.E),DALY,ok,imported,1830.183975743315,83.48958653001348
