study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,ghg_protocol_scope,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PARI,Cultivation of paddy rice,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,WHEA,Cultivation of wheat,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.005423580352615656,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OCER,Cultivation of cereal grains nec,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.003260365604261905,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.002645638524299259,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OILS,Cultivation of oil seeds,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.03437335665481669,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SUGB,"Cultivation of sugar cane, sugar beet",Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FIBR,Cultivation of plant-based fibers,Textile,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OTCR,Cultivation of crops nec,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,0.01345590686120418,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,CATL,Cattle farming,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,5.945647666288194e-07,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PIGS,Pigs farming,Food and catering,MRIO supply-chain node,Scope 3,climate_change,kt CO2eq,2.697855561254693e-08,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
