study,consuming_country_iso3,reference_year,purchased_sector_code,component_type,purchased_sector_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,ALUM,MRIO supply-chain node,Aluminium production,climate_change,kt CO2eq,3.42443379349901,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,ALUO,MRIO supply-chain node,Mining of aluminium ores and concentrates,climate_change,kt CO2eq,0.4610283022437182,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,ALUW,MRIO supply-chain node,Re-processing of secondary aluminium into new aluminium,climate_change,kt CO2eq,0.3114552113969992,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,ASHW,MRIO supply-chain node,Re-processing of ash into clinker,climate_change,kt CO2eq,1.215312566349893,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,BEVR,MRIO supply-chain node,Manufacture of beverages,climate_change,kt CO2eq,30.24301253311351,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,BIOF,MRIO supply-chain node,"Biogasification of food waste, incl. land application",climate_change,kt CO2eq,1.223753832146799,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,BIOP,MRIO supply-chain node,"Biogasification of paper, incl. land application",climate_change,kt CO2eq,0.1357233965997285,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,BIOS,MRIO supply-chain node,"Biogasification of sewage slugde, incl. land application",climate_change,kt CO2eq,5.195367746167959,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,BOTW,MRIO supply-chain node,Recycling of bottles by direct reuse,climate_change,kt CO2eq,0.6405517102640275,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,BRIK,MRIO supply-chain node,"Manufacture of bricks, tiles and construction products, in baked clay",climate_change,kt CO2eq,1.783469093759852,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
