study,consuming_country_iso3,reference_year,purchased_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Chemical,climate_change,kt CO2eq,7334.786301615341,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Coal and Petroleum,climate_change,kt CO2eq,189.1499758713429,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Construction,climate_change,kt CO2eq,269.4182252004377,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,"Electrical, electronic and measuring equipment",climate_change,kt CO2eq,1335.845590485865,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Electricity,climate_change,kt CO2eq,1847.925751314774,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Food and catering,climate_change,kt CO2eq,1018.407696365935,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Furniture and timber,climate_change,kt CO2eq,25.8193365310267,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,General and special Machinery,climate_change,kt CO2eq,181.6003344431771,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Metal Products,climate_change,kt CO2eq,48.44907664825075,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Minerals and Metals,climate_change,kt CO2eq,108.0982361180764,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Natural gas and gaseous fuels,climate_change,kt CO2eq,107.6571945139778,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Non-metallic mineral products,climate_change,kt CO2eq,53.13402834084953,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
