study,consuming_country_iso3,reference_year,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,component_type,demand_component,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PARI,Cultivation of paddy rice,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,WHEA,Cultivation of wheat,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.00409417504736648,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OCER,Cultivation of cereal grains nec,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.003949248627238034,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.01546074406743107,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OILS,Cultivation of oil seeds,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.06092407094883933,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SUGB,"Cultivation of sugar cane, sugar beet",Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FIBR,Cultivation of plant-based fibers,Textile,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OTCR,Cultivation of crops nec,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0007034938154075763,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,CATL,Cattle farming,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,1.608276153643412e-07,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PIGS,Pigs farming,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,3.920600878437405e-08,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PLTR,Poultry farming,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.009309806183175489,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OMEA,Meat animals nec,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.01240720346604111,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OANP,Animal products nec,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.01851172914083147,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,MILK,Raw milk,Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,4.673022536262707e-08,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,WOOL,"Wool, silk-worm cocoons",Textile,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,MANC,"Manure treatment (conventional), storage and land application",Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,MANB,"Manure treatment (biogas), storage and land application",Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FORE,"Forestry, logging and related service activities (02)",Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0008167211523390965,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Food and catering,MRIO supply-chain node,total,expenditure,M.EUR,0.0004407033284060731,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,COAL,Mining of coal and lignite; extraction of peat (10),Coal and Petroleum,MRIO supply-chain node,total,expenditure,M.EUR,4.631875407453037e-05,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Coal and Petroleum,MRIO supply-chain node,total,expenditure,M.EUR,0.0004005056281877837,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Natural gas and gaseous fuels,MRIO supply-chain node,total,expenditure,M.EUR,0.002529965963671897,archive/rivm_steenmeijer_2022/output/ExpenditureVector.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
