study,consuming_country_iso3,reference_year,figure,indicator,unit,figure_group,legend_position,value,share_pct,source
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Other (scope 3),1,15.130738511971137,3.8320811451697967,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Individual travel (scope 3 and out-of-scope),2,0.2925,0.07407990919117033,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Food and food services (scope 3),3,94.1506592572701,23.845033463478256,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Services (scope 3),4,18.330923300136337,4.642574815262934,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Medical and electrical equipment and machinery (scope 3),5,11.634800202236626,2.946683563894357,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Operational impacts (scope 1),6,0.0,0.0,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Heat and electricity (scope 2),7,5.742357457297846,1.454336133264493,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,blue_water_consumption,Mm3,Pharmaceuticals and chemical products (scope 3),8,249.56191780607915,63.205210969739,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,climate_change,kt CO2eq,Other (scope 3),1,2101.707866053598,11.877707372557786,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,1,climate_change,kt CO2eq,Individual travel (scope 3 and out-of-scope),2,932.0686,5.267543725159795,archive/rivm_steenmeijer_2022/output/ContributionAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
