study,consuming_country_iso3,reference_year,figure,indicator,unit,figure_group,legend_position,value,share_pct,source
steenmeijer_2022,NLD,2016,2,blue_water_consumption,Mm3,Other,1,19.378422414583973,4.911507748994972,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,blue_water_consumption,Mm3,Mining of minerals and metals,2,2.401988437760809,0.6087897442146771,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,blue_water_consumption,Mm3,Operational (direct) impacts,3,0.0,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,blue_water_consumption,Mm3,Agricultural sector,4,350.551867586674,88.84821360797919,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,blue_water_consumption,Mm3,Fossil fuel industry,5,0.11593319042249006,0.029383545829677078,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,blue_water_consumption,Mm3,Pharmaceutical and chemical industry,6,14.966575534156698,3.793314550549151,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,blue_water_consumption,Mm3,Electricity sector,7,7.136609371393201,1.8087908024323223,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,climate_change,kt CO2eq,Other,1,4708.003719587173,27.152072693839155,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,climate_change,kt CO2eq,Mining of minerals and metals,2,451.55407021735584,2.604209696931948,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,climate_change,kt CO2eq,Operational (direct) impacts,3,1713.2,9.880393837744066,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,climate_change,kt CO2eq,Agricultural sector,4,2076.8339723039744,11.977549370750477,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,climate_change,kt CO2eq,Fossil fuel industry,5,2160.9587006104853,12.462714819712387,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,climate_change,kt CO2eq,Pharmaceutical and chemical industry,6,2256.197736214631,13.011978875570364,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,climate_change,kt CO2eq,Electricity sector,7,3972.6415878925827,22.911080705451596,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,land_use,km2,Other,1,399.1792348345487,1.6715751980180429,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,land_use,km2,Mining of minerals and metals,2,17.843439008865303,0.0747199440545283,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,land_use,km2,Operational (direct) impacts,3,0.0,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,land_use,km2,Agricultural sector,4,23455.16986377823,98.21923784648374,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,land_use,km2,Fossil fuel industry,5,1.1664202814089573,0.004884420437542481,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,land_use,km2,Pharmaceutical and chemical industry,6,3.2201828280005644,0.013484613623753229,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,land_use,km2,Electricity sector,7,3.8442651587005736,0.01609797738239617,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,material_extraction,kt,Other,1,315.90280696890113,0.9337945375936152,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,material_extraction,kt,Mining of minerals and metals,2,33176.86370767849,98.06932202336483,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,material_extraction,kt,Operational (direct) impacts,3,0.0,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,material_extraction,kt,Agricultural sector,4,91.86738769419112,0.271555880224501,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,material_extraction,kt,Fossil fuel industry,5,32.78446291204241,0.09690940286016338,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,material_extraction,kt,Pharmaceutical and chemical industry,6,211.3350562462248,0.6246969535291008,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,material_extraction,kt,Electricity sector,7,1.2588832392070224,0.003721202427794189,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,waste_generation,kt,Other,1,371.9915916303321,7.733754076164337,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,waste_generation,kt,Mining of minerals and metals,2,2447.8258853305224,50.89062184294782,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,waste_generation,kt,Operational (direct) impacts,3,190.2618270286488,3.9555683876412275,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,waste_generation,kt,Agricultural sector,4,1436.0586597435429,29.855848259171054,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,waste_generation,kt,Fossil fuel industry,5,39.19480172768707,0.814865078797755,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,waste_generation,kt,Pharmaceutical and chemical industry,6,229.58131836419784,4.7730257797728175,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,2,waste_generation,kt,Electricity sector,7,95.06032144897628,1.9763165755050003,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
