study,consuming_country_iso3,reference_year,figure,indicator,unit,figure_group,legend_position,value,share_pct,source
steenmeijer_2022,NLD,2016,3,blue_water_consumption,Mm3,Africa,1,28.50293501421166,7.224137403777721,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,blue_water_consumption,Mm3,Americas,2,55.889067986295565,14.165218645054013,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,blue_water_consumption,Mm3,Middle East,3,114.24152300912124,28.954788656790267,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,blue_water_consumption,Mm3,Europe (excluding the Netherlands),4,26.45594691499865,6.705323348830771,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,blue_water_consumption,Mm3,Asia-Pacific,5,159.51326666072958,40.429020923914784,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,blue_water_consumption,Mm3,Netherlands,6,9.948656949634504,2.521511021632437,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,climate_change,kt CO2eq,Africa,1,789.3386227810734,4.552286052077694,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,climate_change,kt CO2eq,Americas,2,1665.551351517848,9.605593806901263,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,climate_change,kt CO2eq,Middle East,3,1916.4847952331,11.052781088577701,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,3,climate_change,kt CO2eq,Europe (excluding the Netherlands),4,2375.91122643867,13.70239238893975,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
