study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_country_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Direct,Netherlands,climate_change,kt CO2eq,1713.2,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Australia,climate_change,kt CO2eq,197.2698280105839,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Austria,climate_change,kt CO2eq,15.09018132946449,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Belgium,climate_change,kt CO2eq,119.0723369118786,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Brazil,climate_change,kt CO2eq,281.8716127836389,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Bulgaria,climate_change,kt CO2eq,11.3623712936191,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Canada,climate_change,kt CO2eq,106.4786050241257,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,China,climate_change,kt CO2eq,2153.879714673619,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Croatia,climate_change,kt CO2eq,5.730323974163341,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Cyprus,climate_change,kt CO2eq,3.100813115220267,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Czech Republic,climate_change,kt CO2eq,37.30491972183165,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
