study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_sector_code,component_type,producing_sector_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Direct,B_ANAE,bottom-up item,Emission from anesthetic gases,climate_change,kt CO2eq,14.2,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Direct,B_HEAL,bottom-up item,Direct impact from healthcare services,climate_change,kt CO2eq,1699.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,ALUM,MRIO supply-chain node,Aluminium production,climate_change,kt CO2eq,62.00048859868303,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,ALUO,MRIO supply-chain node,Mining of aluminium ores and concentrates,climate_change,kt CO2eq,9.939961421302332,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,ALUW,MRIO supply-chain node,Re-processing of secondary aluminium into new aluminium,climate_change,kt CO2eq,15.10714851960761,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,ASHW,MRIO supply-chain node,Re-processing of ash into clinker,climate_change,kt CO2eq,53.77039155954375,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,BEVR,MRIO supply-chain node,Manufacture of beverages,climate_change,kt CO2eq,7.713805344508244,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,BIOF,MRIO supply-chain node,"Biogasification of food waste, incl. land application",climate_change,kt CO2eq,0.1801248617660403,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,BIOP,MRIO supply-chain node,"Biogasification of paper, incl. land application",climate_change,kt CO2eq,0.02453912801801268,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,BIOS,MRIO supply-chain node,"Biogasification of sewage slugde, incl. land application",climate_change,kt CO2eq,3.140152785949703,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,BOTW,MRIO supply-chain node,Recycling of bottles by direct reuse,climate_change,kt CO2eq,10.95652435337145,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,BRIK,MRIO supply-chain node,"Manufacture of bricks, tiles and construction products, in baked clay",climate_change,kt CO2eq,12.77088766743344,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,CATL,MRIO supply-chain node,Cattle farming,climate_change,kt CO2eq,754.1753605469665,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,CHEM,MRIO supply-chain node,Chemicals nec,climate_change,kt CO2eq,1990.889901562751,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,CHMF,MRIO supply-chain node,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",climate_change,kt CO2eq,26.23356195691143,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,CMNT,MRIO supply-chain node,"Manufacture of cement, lime and plaster",climate_change,kt CO2eq,293.8409010171583,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COAL,MRIO supply-chain node,Mining of coal and lignite; extraction of peat (10),climate_change,kt CO2eq,664.8204833375675,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COIL,MRIO supply-chain node,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,567.8926286878607,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COKE,MRIO supply-chain node,Manufacture of coke oven products,climate_change,kt CO2eq,48.51979855218278,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COMF,MRIO supply-chain node,"Composting of food waste, incl. land application",climate_change,kt CO2eq,90.05881076274761,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COMP,MRIO supply-chain node,Computer and related activities (72),climate_change,kt CO2eq,6.564402985802985,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COMW,MRIO supply-chain node,"Composting of paper and wood, incl. land application",climate_change,kt CO2eq,0.05707668469162035,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,CONS,MRIO supply-chain node,Construction (45),climate_change,kt CO2eq,50.30688901243811,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,CONW,MRIO supply-chain node,Re-processing of secondary construction material into aggregates,climate_change,kt CO2eq,57.67497768974241,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COPO,MRIO supply-chain node,Mining of copper ores and concentrates,climate_change,kt CO2eq,80.30764276702834,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COPP,MRIO supply-chain node,Copper production,climate_change,kt CO2eq,12.09694992173755,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,COPW,MRIO supply-chain node,Re-processing of secondary copper into new copper,climate_change,kt CO2eq,4.628367738233148,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,CRMC,MRIO supply-chain node,Manufacture of ceramic goods,climate_change,kt CO2eq,12.09474489304888,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,DAIR,MRIO supply-chain node,Processing of dairy products,climate_change,kt CO2eq,9.400999116235516,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,EDUC,MRIO supply-chain node,Education (80),climate_change,kt CO2eq,3.059310516297801,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,ELMA,MRIO supply-chain node,Manufacture of electrical machinery and apparatus n.e.c. (31),climate_change,kt CO2eq,6.393804915184046,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,EXTO,MRIO supply-chain node,Extra-territorial organizations and bodies,climate_change,kt CO2eq,3.318484910204107e-08,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FABM,MRIO supply-chain node,"Manufacture of fabricated metal products, except machinery and equipment (28)",climate_change,kt CO2eq,44.64614773216187,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FAUX,MRIO supply-chain node,Activities auxiliary to financial intermediation (67),climate_change,kt CO2eq,6.639926805913391,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FIBR,MRIO supply-chain node,Cultivation of plant-based fibers,climate_change,kt CO2eq,26.96038526923792,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FINS,MRIO supply-chain node,"Insurance and pension funding, except compulsory social security (66)",climate_change,kt CO2eq,4.575559191726377,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FINT,MRIO supply-chain node,"Financial intermediation, except insurance and pension funding (65)",climate_change,kt CO2eq,28.79941200609403,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FISH,MRIO supply-chain node,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",climate_change,kt CO2eq,11.75707750503144,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FORE,MRIO supply-chain node,"Forestry, logging and related service activities (02)",climate_change,kt CO2eq,12.27140191674315,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FSHP,MRIO supply-chain node,Manufacture of fish products,climate_change,kt CO2eq,3.14782919561792,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FURN,MRIO supply-chain node,Manufacture of furniture; manufacturing n.e.c. (36),climate_change,kt CO2eq,29.91908070402401,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,FVEG,MRIO supply-chain node,"Cultivation of vegetables, fruit, nuts",climate_change,kt CO2eq,69.49745427907845,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,GARM,MRIO supply-chain node,Manufacture of wearing apparel; dressing and dyeing of fur (18),climate_change,kt CO2eq,5.46250742835752,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,GASD,MRIO supply-chain node,Manufacture of gas; distribution of gaseous fuels through mains,climate_change,kt CO2eq,39.84498029714518,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,GASE,MRIO supply-chain node,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",climate_change,kt CO2eq,382.7553139079927,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,GLAS,MRIO supply-chain node,Manufacture of glass and glass products,climate_change,kt CO2eq,34.27266135682095,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,GLAW,MRIO supply-chain node,Re-processing of secondary glass into new glass,climate_change,kt CO2eq,9.537608412785106,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,HEAL,MRIO supply-chain node,Health and social work (85),climate_change,kt CO2eq,19.3232965963075,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,HORE,MRIO supply-chain node,Hotels and restaurants (55),climate_change,kt CO2eq,48.14819866849042,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,HWAT,MRIO supply-chain node,Steam and hot water supply,climate_change,kt CO2eq,490.639580900678,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,INCF,MRIO supply-chain node,Incineration of waste: Food,climate_change,kt CO2eq,2.979315378805575,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
