study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_sector_group,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Direct,Operational impact,climate_change,kt CO2eq,1713.2,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Chemical,climate_change,kt CO2eq,2256.197736214631,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Coal and Petroleum,climate_change,kt CO2eq,1638.735265559136,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Construction,climate_change,kt CO2eq,107.9818667021805,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Electrical, electronic and measuring equipment",climate_change,kt CO2eq,554.8357221620581,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Electricity,climate_change,kt CO2eq,3972.641587892583,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Food and catering,climate_change,kt CO2eq,2076.833972303973,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Furniture and timber,climate_change,kt CO2eq,63.42789358477008,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,General and special Machinery,climate_change,kt CO2eq,21.50224061573361,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Metal Products,climate_change,kt CO2eq,504.7418942066021,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Minerals and Metals,climate_change,kt CO2eq,451.554070217356,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Natural gas and gaseous fuels,climate_change,kt CO2eq,522.2234350513492,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Non-metallic mineral products,climate_change,kt CO2eq,468.4680699522434,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Paper Products,climate_change,kt CO2eq,114.5518900081139,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Private travel,climate_change,kt CO2eq,932.0686000000001,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Services,climate_change,kt CO2eq,411.8294938110564,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,546.1515418168368,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Textile,climate_change,kt CO2eq,114.8346868699459,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport,climate_change,kt CO2eq,844.2109735439032,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Transport Equipment,climate_change,kt CO2eq,11.25162992022567,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Waste management and disposal,climate_change,kt CO2eq,391.3158163935034,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Direct,Operational impact,material_extraction,kt,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggsec (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
