study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_world_region,producing_country_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Direct,Netherlands,Netherlands,climate_change,kt CO2eq,1713.2,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Africa,RoW Africa,climate_change,kt CO2eq,389.6367182514849,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Africa,South Africa,climate_change,kt CO2eq,399.7019045295884,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,Brazil,climate_change,kt CO2eq,281.8716127836389,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,Canada,climate_change,kt CO2eq,106.4786050241257,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,Mexico,climate_change,kt CO2eq,73.76996486274373,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,RoW America,climate_change,kt CO2eq,362.7204994772774,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,America,United States,climate_change,kt CO2eq,840.7106693700625,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,Australia,climate_change,kt CO2eq,197.2698280105839,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,China,climate_change,kt CO2eq,2153.879714673619,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,India,climate_change,kt CO2eq,485.0065482744486,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,Indonesia,climate_change,kt CO2eq,407.7382787034276,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,Japan,climate_change,kt CO2eq,156.1442403698402,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,RoW Asia and Pacific,climate_change,kt CO2eq,767.0969917631681,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,South Korea,climate_change,kt CO2eq,104.4016264245109,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Asia and Pacific,Taiwan,climate_change,kt CO2eq,186.8832583416786,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Austria,climate_change,kt CO2eq,15.09018132946449,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Belgium,climate_change,kt CO2eq,119.0723369118786,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Bulgaria,climate_change,kt CO2eq,11.3623712936191,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Croatia,climate_change,kt CO2eq,5.730323974163341,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Czech Republic,climate_change,kt CO2eq,37.30491972183165,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Denmark,climate_change,kt CO2eq,26.88487862679694,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Estonia,climate_change,kt CO2eq,6.523887032857888,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Finland,climate_change,kt CO2eq,12.82830653485844,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,France,climate_change,kt CO2eq,123.2051338813813,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Germany,climate_change,kt CO2eq,317.435316948944,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Greece,climate_change,kt CO2eq,27.99658277060503,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Hungary,climate_change,kt CO2eq,19.2598979261779,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Ireland,climate_change,kt CO2eq,73.1603487583699,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Italy,climate_change,kt CO2eq,61.01761947054089,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Latvia,climate_change,kt CO2eq,6.004788281631518,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Lithuania,climate_change,kt CO2eq,9.415597172771552,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Luxembourg,climate_change,kt CO2eq,9.420637053939107,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Malta,climate_change,kt CO2eq,1.252004007192283,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Norway,climate_change,kt CO2eq,57.84283260740913,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Poland,climate_change,kt CO2eq,55.27538617123925,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Portugal,climate_change,kt CO2eq,18.09851730698806,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,RoW Europe,climate_change,kt CO2eq,285.0414490729358,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Romania,climate_change,kt CO2eq,33.50869940635364,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Russia,climate_change,kt CO2eq,767.8198632332811,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Slovakia,climate_change,kt CO2eq,9.27274444278922,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Europe,Slovenia,climate_change,kt CO2eq,4.948653139020809,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
