study,consuming_country_iso3,reference_year,purchased_country_name,purchased_sector_group,Total (MEUR),indicator,unit,value,source
steenmeijer_2022,NLD,2016,Australia,Chemical,31.68051465715346,climate_change,kt CO2eq per M.EUR,0.7016201389319593,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,Coal and Petroleum,0.001745221427324106,climate_change,kt CO2eq per M.EUR,14.19322422850536,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,Construction,0.2794836193781307,climate_change,kt CO2eq per M.EUR,0.2586346155361103,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,"Electrical, electronic and measuring equipment",44.83632199132578,climate_change,kt CO2eq per M.EUR,0.4694681771458898,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,Electricity,0.0004942095450539636,climate_change,kt CO2eq per M.EUR,0.1555882770250153,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,Food and catering,73.72933826934005,climate_change,kt CO2eq per M.EUR,0.4535076214521361,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,Furniture and timber,0.01335812040424314,climate_change,kt CO2eq per M.EUR,0.3586530143044378,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,General and special Machinery,0.2860375714905405,climate_change,kt CO2eq per M.EUR,0.4596962522092314,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,Metal Products,0.04023085550541368,climate_change,kt CO2eq per M.EUR,0.3525435076601212,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Australia,Minerals and Metals,1.322687275889853,climate_change,kt CO2eq per M.EUR,0.01968565141732568,archive/rivm_steenmeijer_2022/output/Intensities.xlsx#aggsec_aggreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
