study,consuming_country_iso3,reference_year,figure,article_page,indicator,figure_group,published_share_pct,archive_share_pct,difference_pp,note,source
steenmeijer_2022,NLD,2016,1,e954,climate_change,Other (scope 3),12.213,11.877707372557786,-0.3352926274422128,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,climate_change,Individual travel (scope 3 and out-of-scope),5.267,5.267543725159795,0.0005437251597948389,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,climate_change,Food and food services (scope 3),5.832,5.755485240728868,-0.07651475927113172,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,climate_change,Services (scope 3),6.678,6.647846356055258,-0.030153643944742292,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,climate_change,Medical and electrical equipment and machinery (scope 3),7.619,7.549471206246194,-0.06952879375380583,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,climate_change,Operational impacts (scope 1),9.029,9.546437741320677,0.517437741320677,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,climate_change,Heat and electricity (scope 2),11.757,11.903293833740902,0.1462938337409021,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,climate_change,Pharmaceuticals and chemical products (scope 3),41.606,41.45221452419051,-0.1537854758094923,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,material_extraction,Other (scope 3),9.955,9.861896816460302,-0.09310318353969826,,"Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,1,e954,material_extraction,Individual travel (scope 3 and out-of-scope),0.093,0.12452427271681851,0.03152427271681851,"drawn at the composing spreadsheet's hairline minimum, so the published value is a floor rather than a measurement","Steenmeijer et al. (2022) figure 1, p e954, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
