study,consuming_country_iso3,reference_year,table_row,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Total,climate_change,kt CO2eq,17718.55838682618,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Healthcare services,climate_change,kt CO2eq,10903.85675608667,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Pharmaceuticals and chemical products,climate_change,kt CO2eq,4927.854741818851,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Medical appliances,climate_change,kt CO2eq,863.6782889206661,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of anaesthetic gases,climate_change,kt CO2eq,14.2,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of pMDI propellants,climate_change,kt CO2eq,76.9,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,climate_change,kt CO2eq,932.0686,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Total,material_extraction,kt,33872.19140473903,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Healthcare services,material_extraction,kt,14714.37595330302,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Pharmaceuticals and chemical products,material_extraction,kt,18332.75134893899,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Medical appliances,material_extraction,kt,782.88500249705,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of anaesthetic gases,material_extraction,kt,0.0,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Release of pMDI propellants,material_extraction,kt,0.0,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Private travel,material_extraction,kt,42.17910000000001,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Total,blue_water_consumption,Mm3,394.8438965349912,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Healthcare services,blue_water_consumption,Mm3,217.9206572447865,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Pharmaceuticals and chemical products,blue_water_consumption,Mm3,170.0256962936627,archive/rivm_steenmeijer_2022/output/Table1.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
