study,consuming_country_iso3,reference_year,indicator,quantity,unit,value,source
steenmeijer_2022,NLD,2016,climate_change,Healthcare footprint,kt CO2eq,17718.55838682618,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,material_extraction,Healthcare footprint,kt,33872.19140473903,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,blue_water_consumption,Healthcare footprint,Mm3,394.8438965349912,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,land_use,Healthcare footprint,km2,23883.16960588975,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,waste_generation,Healthcare footprint,kt,4809.974405273912,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,climate_change,National consumption footprint,kt CO2eq,241358.4536366869,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,material_extraction,National consumption footprint,kt,259060.1261870991,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,blue_water_consumption,National consumption footprint,Mm3,5226.27320961613,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,land_use,National consumption footprint,km2,329537.2331134058,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,waste_generation,National consumption footprint,kt,113826.0971498638,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,climate_change,Healthcare share of national consumption footprint (%),%,7.341179942053181,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,material_extraction,Healthcare share of national consumption footprint (%),%,13.07503084449043,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,blue_water_consumption,Healthcare share of national consumption footprint (%),%,7.554980015367251,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,land_use,Healthcare share of national consumption footprint (%),%,7.247487447851055,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,waste_generation,Healthcare share of national consumption footprint (%),%,4.225721979153063,archive/rivm_steenmeijer_2022/output/TableS5.xlsx#Sheet1 (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
