analysis_year_denmark,reference_year_netherlands,table_row,indicator,unit,netherlands_2016,denmark_2022,netherlands_per_capita,denmark_per_capita,per_capita_unit,dk_as_pct_of_nl_per_capita,source_netherlands,source_denmark
2022,2016,Total,climate_change,kt CO2eq,17575.0,4712.417605953846,1031.9833210356544,802.3294104548705,kt CO2eq per million population,77.7463544323262,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Total,material_extraction,kt,33801.0,4233.7491225401445,1984.754949321545,720.8320063166169,kt per million population,36.31843853383619,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Total,blue_water_consumption,Mm3,394.0,95.32735307556356,23.135216414682663,16.23029735240517,Mm3 per million population,70.1540761991951,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Total,land_use,km2,23845.0,4853.790927817187,1400.1503436754015,826.3994279001311,km2 per million population,59.02219226906937,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Total,waste_generation,kt,4803.0,216.66104574638632,282.02650873025596,36.8883964958042,kt per million population,13.079762133667401,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Health-care services,climate_change,kt CO2eq,10779.0,2463.440015417841,632.9301972940722,419.42173647003636,kt CO2eq per million population,66.26666546534902,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Health-care services,material_extraction,kt,14714.0,2274.2511867557237,863.9887673239613,387.2107199477857,kt per million population,44.81663820087573,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Health-care services,blue_water_consumption,Mm3,218.0,43.77887634536758,12.80070349847924,7.453728210372761,Mm3 per million population,58.229051327204665,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Health-care services,land_use,km2,13748.0,2991.265753386635,807.2663839316175,509.2885837189636,km2 per million population,63.088045514614755,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Health-care services,waste_generation,kt,2811.0,120.27694888552203,165.05861254231718,20.478179473887792,kt per million population,12.406610693300031,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Pharmaceuticals and chemical products,climate_change,kt CO2eq,4909.0,1441.3751858375624,288.25070400933305,245.40645583621847,kt CO2eq per million population,85.13646364876621,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Pharmaceuticals and chemical products,material_extraction,kt,18261.0,1828.6029631579415,1072.2644338794928,311.3352975196634,kt per million population,29.03530954516888,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Pharmaceuticals and chemical products,blue_water_consumption,Mm3,169.0,49.50356888410434,9.923481152490789,8.428406087782644,Mm3 per million population,84.93396579553254,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Pharmaceuticals and chemical products,land_use,km2,9744.0,1758.883308686224,572.1562150879896,299.4649299192334,km2 per million population,52.33971457833066,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Pharmaceuticals and chemical products,waste_generation,kt,1780.0,90.18586013200859,104.51950562978463,15.354914195138196,kt per million population,14.690955628441616,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Medical appliances,climate_change,kt CO2eq,864.0,157.13598517747823,50.73306340681681,26.753745718419292,kt CO2eq per million population,52.734339150559734,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Medical appliances,material_extraction,kt,783.0,130.89497262647942,45.97683871242773,22.285988849167847,kt per million population,48.47220790572505,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Medical appliances,blue_water_consumption,Mm3,7.0,2.0449078460916534,0.41103176371263617,0.3481630542497648,Mm3 per million population,84.70465910103613,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Medical appliances,land_use,km2,351.0,103.64186574432819,20.61030700901933,17.645914261933964,km2 per million population,85.61694036974747,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
2022,2016,Medical appliances,waste_generation,kt,212.0,6.198236728855702,12.448390558154124,1.0553028267782147,kt per million population,8.477423823170097,"Steenmeijer et al. 2022, Lancet Planet Health, main table (= RIVM 2022-0159 table 8)",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
