country_consuming,analysis_year,scenario_id,scenario,scenario_type,ambition,indicator,unit,baseline,scenario_value,change,change_pct,per_capita_change,per_capita_unit,k_t,k_p,k_a,edited_objects,rebound,unbalanced_pct_of_output,ambition_basis,source,note,model
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF22 to 2030,climate_change,kt CO2eq,4712.417605953846,4568.798162038112,-143.61944391573343,-3.0476807431981245,-24.45243893944813,kg CO2eq per capita,0.862266,1,0.862266,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF22 to 2030,material_extraction,kt,4259.384222540149,4259.384222540149,0.0,0.0,0.0,kg per capita,0.862266,1,0.862266,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF22 to 2030,blue_water_consumption,Mm3,95.50495307556368,95.50495307556366,-1.4210854715202004e-14,-1.4879704410679468e-14,-2.4195195840246405e-15,m3 per capita,0.862266,1,0.862266,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF22 to 2030,land_use,km2,4855.460127817185,4855.460127817185,0.0,0.0,0.0,m2 per capita,0.862266,1,0.862266,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1,"B1 grid and district heat, Danish, 2030",background pathway,KF22 to 2030,waste_generation,kt,259.41809167194094,256.0918700235328,-3.3262216484081364,-1.2821856898918456,-0.566317690273833,kg per capita,0.862266,1,0.862266,B,False,0.0,"the Danish grid, which is what the projection covers",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in Danish; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF22 to 2030,climate_change,kt CO2eq,4712.417605953846,4395.539012236326,-316.87859371751983,-6.724331759502033,-53.95129136304229,kg CO2eq per capita,0.862266,1,0.862266,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF22 to 2030,material_extraction,kt,4259.384222540149,4249.703147739973,-9.681074800175338,-0.2272881312031973,-1.6482858028500156,kg per capita,0.862266,1,0.862266,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF22 to 2030,blue_water_consumption,Mm3,95.50495307556368,95.50079288157251,-0.004160193991168626,-0.004355998152134658,-0.0007083086159628676,m3 per capita,0.862266,1,0.862266,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF22 to 2030,land_use,km2,4855.460127817185,4854.349417731325,-1.1107100858598642,-0.022875485672234193,-0.18910789384376808,m2 per capita,0.862266,1,0.862266,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,2022,B1G,"B1G grid and district heat, every region, 2030",background pathway,KF22 to 2030,waste_generation,kt,259.41809167194094,253.9273327895085,-5.490758882432431,-2.1165674479542553,-0.9348486712056061,kg per capita,0.862266,1,0.862266,B,False,0.0,"every region's grid, at Denmark's projected rate; an upper bound, not an evidenced trajectory",Danish Energy Agency KF22: 122.7 -> 16.9 g CO2e/kWh,"scales the intensity matrix at transmission, distribution and steam nodes in every region; generation technologies carry almost none of the footprint and are not scaled",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
