quantity,value,unit,target,basis,caveat
baseline climate footprint,4652.070759298347,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
required reduction for the regional target,-2326.0353796491736,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
"all interventions, solved simultaneously (C1)",-353.7961943731043,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
the same levers summed separately,-353.95385320569676,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
"interaction, i.e. what summing would overstate",-0.15765883259246039,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
share of the target the interventions alone reach,15.21026711238012,%,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
interventions with the grid pathway (C3),-453.3637212754693,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
share of the target with the grid pathway,19.490835145587866,%,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
interventions with expenditure held constant (C2),-274.4630657410453,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
"rebound, i.e. the saving respending removes",79.33312863205902,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
demand growth offset (business as usual),837.3727366737024,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
"net position, grid pathway included",384.00901539823315,kt CO2eq,"Danske Regioner, January 2024","consumption-based CO2 of hospitals, against a 2022 baseline","the regional target covers hospitals while this baseline covers health and eldercare, so the comparison is indicative of scale rather than an assessment of compliance; levers are applied simultaneously and re-solved, so the combined figure is not an upper bound in the way a naive sum would be"
