Quantity,Value,Unit
baseline climate footprint,4675.5,kt CO₂-eq
required reduction for the regional target,-2337.7,kt CO₂-eq
"all interventions, solved simultaneously (C1)",-360.8,kt CO₂-eq
the same levers summed separately,-361.0,kt CO₂-eq
"interaction, i.e. what summing would overstate",-0.2,kt CO₂-eq
share of the target the interventions alone reach,15.4,%
interventions with the grid pathway (C3),-460.4,kt CO₂-eq
share of the target with the grid pathway,19.7,%
interventions with expenditure held constant (C2),-281.5,kt CO₂-eq
"rebound, i.e. the saving respending removes",79.3,kt CO₂-eq
demand growth offset (business as usual),841.6,kt CO₂-eq
"net position, grid pathway included",381.2,kt CO₂-eq
