method,model,consuming_country_iso3,analysis_year,indicator,unit,layer,value,share_pct,cumulative_share_pct,truncation_error_pct
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,0,379.3264368483613,10.73114219902257,10.73114219902257,89.26885780097743
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,1,846.8249952723966,23.95667308995777,34.68781528898034,65.31218471101965
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,2,955.6481457636622,27.035279242932653,61.72309453191299,38.27690546808701
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,3,610.27512397249,17.264678914253768,78.98777344616677,21.012226553833237
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,4,336.9183744678926,9.531418416069487,88.51919186223624,11.480808137763754
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,5,180.86461332982455,5.116658624005854,93.6358504862421,6.3641495137579
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,6,98.63139749630957,2.790281533275603,96.4261320195177,3.5738679804823037
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,7,54.4448744738336,1.5402451114162738,97.96637713093398,2.0336228690660207
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,8,30.45440633300933,0.8615549384367893,98.82793206937077,1.172067930629228
"production layer decomposition, Malik et al. 2021 / Lenzen et al. 2020 SI 5",EXIOBASE v3.8.2 IOT_2022_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022),DNK,2022,climate_change,kt CO2eq,9,17.260136378620015,0.48828913532208496,99.31622120469285,0.683778795307155
