indicator,unit,layer,origin,value,share_of_total_pct
blue_water_consumption,Mm3,0,domestic,0.08687357684780457,4.153511574134012
blue_water_consumption,Mm3,0,imported,2.004695816838484,95.846488425866
blue_water_consumption,Mm3,1,domestic,0.8377685220659657,4.754955515358316
blue_water_consumption,Mm3,1,imported,16.781082366444075,95.2450444846417
blue_water_consumption,Mm3,2,domestic,2.1824541232493466,11.4103087185889
blue_water_consumption,Mm3,2,imported,16.94458421615895,88.58969128141109
blue_water_consumption,Mm3,3,domestic,0.6636059081147632,4.13501666533497
blue_water_consumption,Mm3,3,imported,15.384839886021007,95.86498333466503
blue_water_consumption,Mm3,4,domestic,0.20261689587736095,2.2538613486957617
blue_water_consumption,Mm3,4,imported,8.787150642157265,97.74613865130424
blue_water_consumption,Mm3,5,domestic,0.05809714075658367,1.212679589309242
blue_water_consumption,Mm3,5,imported,4.732710032775261,98.78732041069077
blue_water_consumption,Mm3,6,domestic,0.017178243668571243,0.6643446359497153
blue_water_consumption,Mm3,6,imported,2.5685645679692537,99.33565536405028
blue_water_consumption,Mm3,7,domestic,0.00518148409866405,0.3642683312291463
blue_water_consumption,Mm3,7,imported,1.4172545759289066,99.63573166877084
blue_water_consumption,Mm3,8,domestic,0.001617637474275309,0.20310251047299785
blue_water_consumption,Mm3,8,imported,0.794845917066756,99.796897489527
blue_water_consumption,Mm3,9,domestic,0.0005286879826240211,0.11669171769544065
blue_water_consumption,Mm3,9,imported,0.45253515670588196,99.88330828230455
blue_water_consumption,Mm3,10,domestic,0.00018404061971677595,0.07046708202087533
blue_water_consumption,Mm3,10,imported,0.2609884308929469,99.92953291797913
blue_water_consumption,Mm3,11,domestic,6.931425150902695e-05,0.04553568001886356
blue_water_consumption,Mm3,11,imported,0.15215033302357925,99.95446431998114
blue_water_consumption,Mm3,12,domestic,2.849924933333431e-05,0.031832710237263986
blue_water_consumption,Mm3,12,imported,0.08949969084480619,99.96816728976275
blue_water_consumption,Mm3,13,domestic,1.2766407755536685e-05,0.024063343589106494
blue_water_consumption,Mm3,13,imported,0.05304057469699457,99.9759366564109
blue_water_consumption,Mm3,14,domestic,6.15949731257205e-06,0.019470095573945953
blue_water_consumption,Mm3,14,imported,0.03162952143285413,99.98052990442605
blue_water_consumption,Mm3,15,domestic,3.15102775736317e-06,0.01661693534238804
blue_water_consumption,Mm3,15,imported,0.01895959807390901,99.98338306465762
blue_water_consumption,Mm3,16,domestic,1.6841440171771366e-06,0.014752276624933107
blue_water_consumption,Mm3,16,imported,0.011414479340408897,99.98524772337507
blue_water_consumption,Mm3,17,domestic,9.295568834971353e-07,0.013475259725265181
blue_water_consumption,Mm3,17,imported,0.006897318806777207,99.98652474027475
blue_water_consumption,Mm3,18,domestic,5.254904366261516e-07,0.012567205290523697
blue_water_consumption,Mm3,18,imported,0.004180916799062676,99.98743279470946
blue_water_consumption,Mm3,19,domestic,3.025413322382231e-07,0.011903565776454949
blue_water_consumption,Mm3,19,imported,0.0025413000164210423,99.98809643422355
blue_water_consumption,Mm3,20,domestic,1.767146082092486e-07,0.011410519702862349
blue_water_consumption,Mm3,20,imported,0.0015485223176095735,99.98858948029715
climate_change,kt CO2eq,0,domestic,274.65396834863634,72.583656082021
climate_change,kt CO2eq,0,imported,103.74246849972499,27.416343917979013
climate_change,kt CO2eq,1,domestic,299.9133760767653,35.41621678045683
climate_change,kt CO2eq,1,imported,546.9116191956314,64.58378321954316
climate_change,kt CO2eq,2,domestic,224.35525755706436,23.47676375992768
climate_change,kt CO2eq,2,imported,731.2928882065979,76.52323624007231
climate_change,kt CO2eq,3,domestic,65.79755744726137,10.781622068905993
climate_change,kt CO2eq,3,imported,544.4775665252284,89.21837793109401
climate_change,kt CO2eq,4,domestic,20.60617417388959,6.116073130898149
climate_change,kt CO2eq,4,imported,316.312200294003,93.88392686910184
climate_change,kt CO2eq,5,domestic,6.00697312447482,3.321253955587492
climate_change,kt CO2eq,5,imported,174.85764020534972,96.67874604441249
climate_change,kt CO2eq,6,domestic,1.7932829946837532,1.8181664664650536
climate_change,kt CO2eq,6,imported,96.83811450162582,98.18183353353494
climate_change,kt CO2eq,7,domestic,0.548587071037404,1.0076009474520085
climate_change,kt CO2eq,7,imported,53.8962874027962,98.992399052548
climate_change,kt CO2eq,8,domestic,0.17457694637020635,0.5732403530092246
climate_change,kt CO2eq,8,imported,30.279829386639125,99.42675964699077
climate_change,kt CO2eq,9,domestic,0.05847252014753351,0.33877206335381527
