approach_folder,file,size_bytes,sha256_16,approach,reference,script,equations,inputs,generated_utc,monetary_unit,country_coding
09_vintage_diagnostics,09_vintage_diagnostics/README.md,1741,2033cc6150ecdda6,EXIOBASE vintage audit against Danish national accounts,Rørmose Jensen & Iliev 2022 (Statistics Denmark); Palm et al. 2019; Stadler et al. 2018 (J Ind Ecol 22:502),analysis.vintage_defect_audit,ratio = x_EXIOBASE(group) / x_nationalaccounts(group),EXIOBASE v3.7/v3.8.2/v3.10.2 x vectors; DST 117-industry IO tables,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
09_vintage_diagnostics,09_vintage_diagnostics/dk_block_vs_national_accounts.csv,11708,9b2c47683ee8c390,EXIOBASE vintage audit against Danish national accounts,Rørmose Jensen & Iliev 2022 (Statistics Denmark); Palm et al. 2019; Stadler et al. 2018 (J Ind Ecol 22:502),analysis.vintage_defect_audit,ratio = x_EXIOBASE(group) / x_nationalaccounts(group),EXIOBASE v3.7/v3.8.2/v3.10.2 x vectors; DST 117-industry IO tables,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
09_vintage_diagnostics,09_vintage_diagnostics/industry33_output_by_region.csv,35450,37069f33beb41ff8,EXIOBASE vintage audit against Danish national accounts,Rørmose Jensen & Iliev 2022 (Statistics Denmark); Palm et al. 2019; Stadler et al. 2018 (J Ind Ecol 22:502),analysis.vintage_defect_audit,ratio = x_EXIOBASE(group) / x_nationalaccounts(group),EXIOBASE v3.7/v3.8.2/v3.10.2 x vectors; DST 117-industry IO tables,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
09_vintage_diagnostics,09_vintage_diagnostics/vintage_defect_verdicts.csv,1107,d80ba5e50de9ab37,EXIOBASE vintage audit against Danish national accounts,Rørmose Jensen & Iliev 2022 (Statistics Denmark); Palm et al. 2019; Stadler et al. 2018 (J Ind Ecol 22:502),analysis.vintage_defect_audit,ratio = x_EXIOBASE(group) / x_nationalaccounts(group),EXIOBASE v3.7/v3.8.2/v3.10.2 x vectors; DST 117-industry IO tables,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
10_sea_transport_reallocation,10_sea_transport_reallocation/README.md,1339,8719baf9ab5e1bd7,Danish sea-transport reallocation (simplified SNAC step),"Rørmose Jensen & Iliev 2022, pp. 11-12; Palm et al. 2019",analysis.dk_shipping_correction,"Z[row,DK] *= 0.09*x_row / Z[row,DK].sum(); residual to exports; value added credited to restore column balance",EXIOBASE v3.8.2 IOT_2022_ixi; DST water-transport allocation,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
10_sea_transport_reallocation,10_sea_transport_reallocation/phantom_shipping_input_removed_by_industry.csv,14824,7731728624d22d1f,Danish sea-transport reallocation (simplified SNAC step),"Rørmose Jensen & Iliev 2022, pp. 11-12; Palm et al. 2019",analysis.dk_shipping_correction,"Z[row,DK] *= 0.09*x_row / Z[row,DK].sum(); residual to exports; value added credited to restore column balance",EXIOBASE v3.8.2 IOT_2022_ixi; DST water-transport allocation,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
10_sea_transport_reallocation,10_sea_transport_reallocation/shipping_reallocation_diagnostics.csv,894,d78177b4279e7acd,Danish sea-transport reallocation (simplified SNAC step),"Rørmose Jensen & Iliev 2022, pp. 11-12; Palm et al. 2019",analysis.dk_shipping_correction,"Z[row,DK] *= 0.09*x_row / Z[row,DK].sum(); residual to exports; value added credited to restore column balance",EXIOBASE v3.8.2 IOT_2022_ixi; DST water-transport allocation,2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
11_capital_gfcf,11_capital_gfcf/README.md,2755,7cb6c29563148742,"Capital boundary: excluded, exogenous service flow, endogenised","Södersten, Wood & Hertwich 2018 (ES&T 52:13250); Wood & Hertwich 2018; Malik et al. 2018",analysis.capital_gfcf,"f_A = f + C S L y_cap ; K[:,j] = g_r cfc_j / x_j ; A' = A + K","prepared background; DST NABK69 P.51c/P.51g by asset, 2022",2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
11_capital_gfcf,11_capital_gfcf/capital_asset_mix.csv,1540,f7005b437b5f1e1e,"Capital boundary: excluded, exogenous service flow, endogenised","Södersten, Wood & Hertwich 2018 (ES&T 52:13250); Wood & Hertwich 2018; Malik et al. 2018",analysis.capital_gfcf,"f_A = f + C S L y_cap ; K[:,j] = g_r cfc_j / x_j ; A' = A + K","prepared background; DST NABK69 P.51c/P.51g by asset, 2022",2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
11_capital_gfcf,11_capital_gfcf/capital_diagnostics.csv,1264,e868c98e2e97a8ce,"Capital boundary: excluded, exogenous service flow, endogenised","Södersten, Wood & Hertwich 2018 (ES&T 52:13250); Wood & Hertwich 2018; Malik et al. 2018",analysis.capital_gfcf,"f_A = f + C S L y_cap ; K[:,j] = g_r cfc_j / x_j ; A' = A + K","prepared background; DST NABK69 P.51c/P.51g by asset, 2022",2026-09-09T05:50:09Z,M.EUR (EXIOBASE native); Danish sources in 1000 DKK / m DKK,ISO3 for countries; WA/WL/WE/WF/WM keep RoW region labels
