industry_group_id,industry_group_name
1,Chemical
2,Coal and Petroleum
3,Construction
4,"Electrical, electronic and measuring equipment"
5,Electricity
6,Food and catering
7,Furniture and timber
8,General and special Machinery
9,Metal Products
10,Minerals and Metals
11,Natural gas and gaseous fuels
12,Non-metallic mineral products
13,Paper Products
14,Services
15,"Steam, hot water supply and water distribution"
16,Textile
17,Transport
18,Transport Equipment
19,Waste management and disposal
20,Private travel
21,Operational impact
22,Below-threshold remainder
