region_id,region_code,region_name,world_region,region_type,is_row_region,is_domestic
1,AUT,Austria,Europe,MRIO region,False,False
2,BEL,Belgium,Europe,MRIO region,False,False
3,BGR,Bulgaria,Europe,MRIO region,False,False
4,CYP,Cyprus,Middle East,MRIO region,False,False
5,CZE,Czech Republic,Europe,MRIO region,False,False
6,DEU,Germany,Europe,MRIO region,False,False
7,DNK,Denmark,Denmark,MRIO region,False,True
8,EST,Estonia,Europe,MRIO region,False,False
9,ESP,Spain,Europe,MRIO region,False,False
10,FIN,Finland,Europe,MRIO region,False,False
11,FRA,France,Europe,MRIO region,False,False
12,GRC,Greece,Europe,MRIO region,False,False
13,HRV,Croatia,Europe,MRIO region,False,False
14,HUN,Hungary,Europe,MRIO region,False,False
15,IRL,Ireland,Europe,MRIO region,False,False
16,ITA,Italy,Europe,MRIO region,False,False
17,LTU,Lithuania,Europe,MRIO region,False,False
18,LUX,Luxembourg,Europe,MRIO region,False,False
19,LVA,Latvia,Europe,MRIO region,False,False
20,MLT,Malta,Europe,MRIO region,False,False
21,NLD,Netherlands,Europe,MRIO region,False,False
22,POL,Poland,Europe,MRIO region,False,False
23,PRT,Portugal,Europe,MRIO region,False,False
24,ROU,Romania,Europe,MRIO region,False,False
25,SWE,Sweden,Europe,MRIO region,False,False
26,SVN,Slovenia,Europe,MRIO region,False,False
27,SVK,Slovakia,Europe,MRIO region,False,False
28,GBR,United Kingdom,Europe,MRIO region,False,False
29,USA,United States,America,MRIO region,False,False
30,JPN,Japan,Asia and Pacific,MRIO region,False,False
31,CHN,China,Asia and Pacific,MRIO region,False,False
32,CAN,Canada,America,MRIO region,False,False
33,KOR,South Korea,Asia and Pacific,MRIO region,False,False
34,BRA,Brazil,America,MRIO region,False,False
35,IND,India,Asia and Pacific,MRIO region,False,False
36,MEX,Mexico,America,MRIO region,False,False
37,RUS,Russia,Europe,MRIO region,False,False
38,AUS,Australia,Asia and Pacific,MRIO region,False,False
39,CHE,Switzerland,Europe,MRIO region,False,False
40,TUR,Turkey,Middle East,MRIO region,False,False
41,TWN,Taiwan,Asia and Pacific,MRIO region,False,False
42,NOR,Norway,Europe,MRIO region,False,False
43,IDN,Indonesia,Asia and Pacific,MRIO region,False,False
44,ZAF,South Africa,Africa,MRIO region,False,False
45,RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,MRIO region,True,False
46,RoW America,RoW America,America,MRIO region,True,False
47,RoW Europe,RoW Europe,Europe,MRIO region,True,False
48,RoW Africa,RoW Africa,Africa,MRIO region,True,False
49,RoW Middle East,RoW Middle East,Middle East,MRIO region,True,False
50,BELOW_THRESHOLD_REMAINDER,Below-threshold remainder,Below-threshold remainder,truncation remainder,False,False
