model_id,indicator_id,scope_component_id,value
1,2,1,119.48416963720942
1,2,2,11.7488924705
1,2,3,131.23306210770943
1,2,4,74.97501947142163
1,2,5,3340.3922499745877
1,2,6,12.551920252536068
1,2,7,444.16050232165134
1,2,8,3797.104672548775
1,2,9,263.56770753446403
1,2,10,4266.88046166237
2,2,1,139.4309722503604
2,2,2,12.66996446025
2,2,3,152.10093671061043
2,2,4,24.16093102126015
2,2,5,5400.6336335923
2,2,6,10.17
2,2,7,429.3159677542813
2,2,8,5840.1196013465815
2,2,9,293.4753186512448
2,2,10,6309.856787729696
3,2,1,81.93
3,2,2,11.7488924705
3,2,3,93.6788924705
3,2,4,55.97218319984901
3,2,5,2774.116626395559
3,2,6,12.551920252536068
3,2,7,262.0611929468714
3,2,8,3048.7297395949663
3,2,9,263.56770753446403
3,2,10,3461.9485227997793
4,2,1,160.93
4,2,2,11.7488924705
4,2,3,172.67889247050002
4,2,4,93.16769613680528
4,2,5,3882.525496613837
4,2,6,12.551920252536068
4,2,7,569.7868056563563
4,2,8,4464.8642225227295
4,2,9,263.56770753446403
4,2,10,4994.278518664499
