consuming_country_iso3,model,scenario,analysis_year,indicator,unit,demand_component,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_WHEA,Cultivation of wheat,Food and catering,0.012361445254753198
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OCER,Cultivation of cereal grains nec,Food and catering,0.036072284202031964
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,0.004237064548771461
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OILS,Cultivation of oil seeds,Food and catering,0.014873854764916612
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_SUGB,"Cultivation of sugar cane, sugar beet",Food and catering,0.005530312778983833
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_FIBR,Cultivation of plant-based fibers,Textile,1.3340662212453404e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OTCR,Cultivation of crops nec,Food and catering,0.0001466236982600416
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CATL,Cattle farming,Food and catering,0.09298656322881647
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PIGS,Pigs farming,Food and catering,0.01291775523694288
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PLTR,Poultry farming,Food and catering,0.0016145433958756408
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OMEA,Meat animals nec,Food and catering,0.0010824761142163406
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OANP,Animal products nec,Food and catering,3.705585570060331e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_MILK,Raw milk,Food and catering,0.17305189320278716
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_WOOL,"Wool, silk-worm cocoons",Textile,5.993662355580776e-07
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_FORE,"Forestry, logging and related service activities (02)",Food and catering,0.015630921508806146
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Food and catering,5.369523137656283e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Coal and Petroleum,0.023572385899939943
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Natural gas and gaseous fuels,0.012254502250876289
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_IRON,Mining of iron ores,Minerals and Metals,0.00011156814114906374
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_ONFO,Mining of other non-ferrous metal ores and concentrates,Minerals and Metals,0.0031163560253336113
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_STON,Quarrying of stone,Minerals and Metals,0.0017709986948833063
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_SDCL,Quarrying of sand and clay,Minerals and Metals,0.0016226180108089227
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals,0.0005002400042765044
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PCAT,Processing of meat cattle,Food and catering,0.0049109545059524634
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PPIG,Processing of meat pigs,Food and catering,0.0035626293856816827
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PPLT,Processing of meat poultry,Food and catering,0.0002731024684076218
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_POME,Production of meat products nec,Food and catering,0.00015097782802593599
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_VOIL,Processing vegetable oils and fats,Food and catering,0.0002261830081118782
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_DAIR,Processing of dairy products,Food and catering,0.009586828759226255
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_RICE,Processed rice,Food and catering,0.00010652611613278313
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_SUGR,Sugar refining,Food and catering,0.0006046294079750748
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_OFOD,Processing of Food products nec,Food and catering,0.01854291447373511
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_BEVR,Manufacture of beverages,Food and catering,0.014832054264022813
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_FSHP,Manufacture of fish products,Food and catering,0.00014473791602754666
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TOBC,Manufacture of tobacco products (16),Food and catering,0.0003479829278608981
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_TEXT,Manufacture of textiles (17),Textile,0.001981684155243685
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),Textile,0.0002628041429336694
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Textile,0.00012674181571735484
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_WOOD,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Furniture and timber,0.01098840098573353
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PULP,Pulp,Paper Products,0.038428325941215084
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PAPE,Paper,Paper Products,0.01182859588794893
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_MDIA,"Publishing, printing and reproduction of recorded media (22)",Paper Products,0.008419514652301344
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_COKE,Manufacture of coke oven products,Coal and Petroleum,0.0851310195008002
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_REFN,Petroleum Refinery,Coal and Petroleum,0.08694012296751503
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_NUCF,Processing of nuclear fuel,Chemical,3.887043966094334e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PLAS,"Plastics, basic",Chemical,0.07354391433848631
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_NFER,N-fertiliser,Chemical,0.0003124236755038773
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_PFER,P- and other fertiliser,Chemical,0.0010284287670843714
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CHEM,Chemicals nec,Chemical,0.0069497501973976965
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_RUBP,Manufacture of rubber and plastic products (25),Chemical,0.010192009492641933
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_GLAS,Manufacture of glass and glass products,Non-metallic mineral products,0.007700726519736649
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CRMC,Manufacture of ceramic goods,Non-metallic mineral products,0.009828557463548708
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",Non-metallic mineral products,0.0037701195837858107
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),baseline,2022,climate_change,kt CO2eq,healthcare_services,AUT,Austria,Europe,A_CMNT,"Manufacture of cement, lime and plaster",Non-metallic mineral products,0.09908462853436176
