consuming_country_iso3,model,analysis_year,indicator,unit,scope,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWC,Production of electricity by coal,Electricity,1.6280532283634216e-10
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWG,Production of electricity by gas,Electricity,0.0015590178513501794
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWH,Production of electricity by hydro,Electricity,4.625834935933359e-08
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWW,Production of electricity by wind,Electricity,4.4837387172572475e-08
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWP,Production of electricity by petroleum and other oil derivatives,Electricity,1.3190973813529097e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWB,Production of electricity by biomass and waste,Electricity,0.00017399575095502107
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWZ,Production of electricity nec,Electricity,3.4241402191899224e-13
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWT,Transmission of electricity,Electricity,8.231077889124163e-09
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_POWD,Distribution and trade of electricity,Electricity,1.7193025193313418e-08
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,A_HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.0004750209635919052
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWC,Production of electricity by coal,Electricity,1.7475099392496033e-10
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWG,Production of electricity by gas,Electricity,0.009239395928864623
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWN,Production of electricity by nuclear,Electricity,2.5135365894093954e-07
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWH,Production of electricity by hydro,Electricity,2.960735411628247e-09
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWW,Production of electricity by wind,Electricity,1.0680252803313013e-07
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWP,Production of electricity by petroleum and other oil derivatives,Electricity,3.640039133744114e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWB,Production of electricity by biomass and waste,Electricity,0.0006625496218992523
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWS,Production of electricity by solar photovoltaic,Electricity,2.1653688100890427e-07
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWZ,Production of electricity nec,Electricity,5.7680158324474025e-11
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWT,Transmission of electricity,Electricity,2.2788711246005263e-09
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_POWD,Distribution and trade of electricity,Electricity,5.642094379612801e-09
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BEL,Belgium,Europe,A_HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.0013059068467882694
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWC,Production of electricity by coal,Electricity,9.56842574303785
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWG,Production of electricity by gas,Electricity,0.15622537386215238
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWN,Production of electricity by nuclear,Electricity,6.596681925587888e-07
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWH,Production of electricity by hydro,Electricity,2.0433373149168224e-05
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWW,Production of electricity by wind,Electricity,4.146651338412871e-06
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.05276284588666085
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWS,Production of electricity by solar photovoltaic,Electricity,2.2451175621873894e-06
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWT,Transmission of electricity,Electricity,5.734046710574186e-07
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_POWD,Distribution and trade of electricity,Electricity,1.1821872030532125e-06
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,BGR,Bulgaria,Europe,A_HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.06191386591277187
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,A_POWW,Production of electricity by wind,Electricity,1.312065924556359e-13
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,A_POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.0015522904848835023
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,A_POWB,Production of electricity by biomass and waste,Electricity,2.4144122626563607e-16
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,A_POWS,Production of electricity by solar photovoltaic,Electricity,3.9036541524775067e-13
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,A_POWT,Transmission of electricity,Electricity,2.894349771337548e-08
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,A_POWD,Distribution and trade of electricity,Electricity,8.608077772358163e-08
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,CYP,Cyprus,Middle East,A_HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",6.316880697843327e-07
