consuming_country_iso3,model,analysis_year,indicator,unit,scope,value,basis
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 1,142.18475577548648,national accounts (DRIVHUS/AFFALD) + medical gases
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2,404.2157362459192,generation emissions of purchased electricity/steam/heat (traced)
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 2 (first-tier variant),401.2654249810106,"sensitivity, not added to the total"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Scope 3,4086.129999283378,"footprint residual after Scope 2, plus pMDI and commuting"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,Outside protocol,242.5114,patient and visitor travel
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,TOTAL,4875.041891304784,S1+S2+S3+outside
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,material_extraction,kt,Scope 1,0.0,EXIOBASE direct of the sector
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,material_extraction,kt,Scope 2,0.0,generation emissions of purchased electricity/steam/heat (traced)
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,material_extraction,kt,Scope 2 (first-tier variant),0.0,"sensitivity, not added to the total"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,material_extraction,kt,Scope 3,5567.694119299737,"footprint residual after Scope 2, plus pMDI and commuting"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,material_extraction,kt,Outside protocol,0.0,patient and visitor travel
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,material_extraction,kt,TOTAL,5567.694119299737,S1+S2+S3+outside
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,blue_water_consumption,Mm3,Scope 1,0.0,EXIOBASE direct of the sector
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,blue_water_consumption,Mm3,Scope 2,0.14905503665483769,generation emissions of purchased electricity/steam/heat (traced)
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,blue_water_consumption,Mm3,Scope 2 (first-tier variant),0.14346390310499577,"sensitivity, not added to the total"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,blue_water_consumption,Mm3,Scope 3,42.679480288855814,"footprint residual after Scope 2, plus pMDI and commuting"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,blue_water_consumption,Mm3,Outside protocol,0.0,patient and visitor travel
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,blue_water_consumption,Mm3,TOTAL,42.82853532551065,S1+S2+S3+outside
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,land_use,km2,Scope 1,0.0,EXIOBASE direct of the sector
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,land_use,km2,Scope 2,5.0415863640853e-06,generation emissions of purchased electricity/steam/heat (traced)
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,land_use,km2,Scope 2 (first-tier variant),2.934000386277777e-06,"sensitivity, not added to the total"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,land_use,km2,Scope 3,3831.4180759149904,"footprint residual after Scope 2, plus pMDI and commuting"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,land_use,km2,Outside protocol,0.0,patient and visitor travel
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,land_use,km2,TOTAL,3831.418080956577,S1+S2+S3+outside
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,waste_generation,kt,Scope 1,45.1,national accounts (DRIVHUS/AFFALD) + medical gases
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,waste_generation,kt,Scope 2,64.60306671750645,generation emissions of purchased electricity/steam/heat (traced)
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,waste_generation,kt,Scope 2 (first-tier variant),64.49895738668224,"sensitivity, not added to the total"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,waste_generation,kt,Scope 3,1372.0981801764146,"footprint residual after Scope 2, plus pMDI and commuting"
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,waste_generation,kt,Outside protocol,0.0,patient and visitor travel
DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,waste_generation,kt,TOTAL,1481.8012468939212,S1+S2+S3+outside
