price_vintage,waste_vintage,indicator,median
none,central,Global warming (ktCO2eq),4902.509428209002
none,central,Material extraction (kt),5596.344978159629
none,central,Blue water consumption (Mm3),43.02592266453101
none,central,Land use (km2),3832.6341635961044
none,central,Waste generation (kt),1481.8663261975034
none,low,Global warming (ktCO2eq),4902.509428209002
none,low,Material extraction (kt),5596.344978159629
none,low,Blue water consumption (Mm3),43.02592266453101
none,low,Land use (km2),3832.6341635961044
none,low,Waste generation (kt),763.5840600281023
none,high,Global warming (ktCO2eq),4902.509428209002
none,high,Material extraction (kt),5596.344978159629
none,high,Blue water consumption (Mm3),43.02592266453101
none,high,Land use (km2),3832.6341635961044
none,high,Waste generation (kt),2917.9319374558136
nowcast_adjusted,central,Global warming (ktCO2eq),4778.947778584594
nowcast_adjusted,central,Material extraction (kt),5429.388175840547
nowcast_adjusted,central,Blue water consumption (Mm3),41.74092925616684
nowcast_adjusted,central,Land use (km2),3717.6922800651696
nowcast_adjusted,central,Waste generation (kt),1438.7419474644075
nowcast_adjusted,low,Global warming (ktCO2eq),4778.947778584594
nowcast_adjusted,low,Material extraction (kt),5429.388175840547
nowcast_adjusted,low,Blue water consumption (Mm3),41.74092925616684
nowcast_adjusted,low,Land use (km2),3717.6922800651696
nowcast_adjusted,low,Waste generation (kt),742.0532357199764
nowcast_adjusted,high,Global warming (ktCO2eq),4778.947778584594
nowcast_adjusted,high,Material extraction (kt),5429.388175840547
nowcast_adjusted,high,Blue water consumption (Mm3),41.74092925616684
nowcast_adjusted,high,Land use (km2),3717.6922800651696
nowcast_adjusted,high,Waste generation (kt),2831.744285026749
