indicator,parameter,variance_share_pct
Global warming (ktCO2eq),mrio,88.68829432113078
Global warming (ktCO2eq),B_HEAL,0.115177381854156
Global warming (ktCO2eq),B_ANAE,0.009184947311505183
Global warming (ktCO2eq),B_PMDI,0.0020190995931905053
Global warming (ktCO2eq),B_COMM,5.295818214354771
Global warming (ktCO2eq),B_VISI,5.889506035755611
Material extraction (kt),mrio,99.9847538292287
Material extraction (kt),B_HEAL,0.0
Material extraction (kt),B_ANAE,0.0
Material extraction (kt),B_PMDI,0.0
Material extraction (kt),B_COMM,0.005533432102393437
Material extraction (kt),B_VISI,0.00971273866892979
Blue water consumption (Mm3),mrio,99.98734056478081
Blue water consumption (Mm3),B_HEAL,0.0
Blue water consumption (Mm3),B_ANAE,0.0
Blue water consumption (Mm3),B_PMDI,0.0
Blue water consumption (Mm3),B_COMM,0.0042921116997244385
Blue water consumption (Mm3),B_VISI,0.0083673235194605
Land use (km2),mrio,99.99986368173508
Land use (km2),B_HEAL,0.0
Land use (km2),B_ANAE,0.0
Land use (km2),B_PMDI,0.0
Land use (km2),B_COMM,4.9676613253330966e-05
Land use (km2),B_VISI,8.66416516644192e-05
Waste generation (kt),mrio,99.87091775172587
Waste generation (kt),B_HEAL,0.1290822482741301
Waste generation (kt),B_ANAE,0.0
Waste generation (kt),B_PMDI,0.0
Waste generation (kt),B_COMM,0.0
Waste generation (kt),B_VISI,0.0
