fact_column,code,label,entry_type,nace_level,codelist,fact_tables
c_dest,DK,Denmark,country,,C_DEST,footprint;use
c_dest,WORLD,All countries of the world,country_aggregate,,C_DEST,footprint
c_orig,AL,Albania,country,,C_ORIG,use
c_orig,AR,Argentina,country,,C_ORIG,footprint;use
c_orig,AT,Austria,country,,C_ORIG,footprint;use
c_orig,AU,Australia,country,,C_ORIG,footprint;use
c_orig,BE,Belgium,country,,C_ORIG,footprint;use
c_orig,BG,Bulgaria,country,,C_ORIG,footprint;use
c_orig,BR,Brazil,country,,C_ORIG,footprint;use
c_orig,CA,Canada,country,,C_ORIG,footprint;use
c_orig,CH,Switzerland,country,,C_ORIG,footprint;use
c_orig,CN,China,country,,C_ORIG,footprint;use
c_orig,CY,Cyprus,country,,C_ORIG,footprint;use
c_orig,CZ,Czechia,country,,C_ORIG,footprint;use
c_orig,DE,Germany,country,,C_ORIG,footprint;use
c_orig,DK,Denmark,country,,C_ORIG,footprint;use
c_orig,DOM,Domestic country,no_origin,,C_ORIG,use
c_orig,EE,Estonia,country,,C_ORIG,footprint;use
c_orig,EL,Greece,country,,C_ORIG,footprint;use
c_orig,ES,Spain,country,,C_ORIG,footprint;use
c_orig,EU27_2020,European Union - 27 countries (from 2020),country_aggregate,,C_ORIG,footprint
c_orig,EXT_EU27_2020,Extra-EU27 (from 2020),country_aggregate,,C_ORIG,footprint
c_orig,FI,Finland,country,,C_ORIG,footprint;use
c_orig,FR,France,country,,C_ORIG,footprint;use
c_orig,HR,Croatia,country,,C_ORIG,footprint;use
c_orig,HU,Hungary,country,,C_ORIG,footprint;use
c_orig,ID,Indonesia,country,,C_ORIG,footprint;use
c_orig,IE,Ireland,country,,C_ORIG,footprint;use
c_orig,IN,India,country,,C_ORIG,footprint;use
c_orig,IT,Italy,country,,C_ORIG,footprint;use
c_orig,JP,Japan,country,,C_ORIG,footprint;use
c_orig,KR,South Korea,country,,C_ORIG,footprint;use
c_orig,LT,Lithuania,country,,C_ORIG,footprint;use
c_orig,LU,Luxembourg,country,,C_ORIG,footprint;use
c_orig,LV,Latvia,country,,C_ORIG,footprint;use
c_orig,ME,Montenegro,country,,C_ORIG,use
c_orig,MK,North Macedonia,country,,C_ORIG,use
c_orig,MT,Malta,country,,C_ORIG,footprint;use
c_orig,MX,Mexico,country,,C_ORIG,footprint;use
c_orig,NL,Netherlands,country,,C_ORIG,footprint;use
c_orig,NO,Norway,country,,C_ORIG,footprint;use
c_orig,PL,Poland,country,,C_ORIG,footprint;use
c_orig,PT,Portugal,country,,C_ORIG,footprint;use
c_orig,RO,Romania,country,,C_ORIG,footprint;use
c_orig,RS,Serbia,country,,C_ORIG,use
c_orig,RU,Russia,country,,C_ORIG,footprint;use
c_orig,SA,Saudi Arabia,country,,C_ORIG,footprint;use
c_orig,SE,Sweden,country,,C_ORIG,footprint;use
c_orig,SI,Slovenia,country,,C_ORIG,footprint;use
c_orig,SK,Slovakia,country,,C_ORIG,footprint;use
c_orig,TR,Türkiye,country,,C_ORIG,footprint;use
c_orig,UK,United Kingdom,country,,C_ORIG,footprint;use
c_orig,US,United States,country,,C_ORIG,footprint;use
c_orig,WORLD,All countries of the world,country_aggregate,,C_ORIG,footprint
c_orig,WRL_REST,Rest of the world,country_residual,,C_ORIG,footprint;use
c_orig,ZA,South Africa,country,,C_ORIG,footprint;use
cpa2_1,CPA_A01,"Products of agriculture, hunting and related services",product,,CPA2_1,supply
cpa2_1,CPA_A02,"Products of forestry, logging and related services",product,,CPA2_1,supply
cpa2_1,CPA_A03,Fish and other fishing products; aquaculture products; support services to fishing,product,,CPA2_1,supply
cpa2_1,CPA_B,Mining and quarrying,product,,CPA2_1,supply
cpa2_1,CPA_C10-12,Food products; beverages; tobacco products,product,,CPA2_1,supply
cpa2_1,CPA_C13-15,Textiles; wearing apparel; leather and related products,product,,CPA2_1,supply
cpa2_1,CPA_C16,"Wood and products of wood and cork, except furniture; articles of straw and plaiting materials",product,,CPA2_1,supply
cpa2_1,CPA_C17,Paper and paper products,product,,CPA2_1,supply
cpa2_1,CPA_C18,Printing and reproduction services of recorded media,product,,CPA2_1,supply
cpa2_1,CPA_C19,Coke and refined petroleum products,product,,CPA2_1,supply
cpa2_1,CPA_C20,Chemicals and chemical products,product,,CPA2_1,supply
cpa2_1,CPA_C21,Basic pharmaceutical products and pharmaceutical preparations,product,,CPA2_1,supply
cpa2_1,CPA_C22,Rubber and plastic products,product,,CPA2_1,supply
cpa2_1,CPA_C23,Other non-metallic mineral products,product,,CPA2_1,supply
cpa2_1,CPA_C24,Basic metals,product,,CPA2_1,supply
cpa2_1,CPA_C25,"Fabricated metal products, except machinery and equipment",product,,CPA2_1,supply
cpa2_1,CPA_C26,"Computer, electronic and optical products",product,,CPA2_1,supply
cpa2_1,CPA_C27,Electrical equipment,product,,CPA2_1,supply
cpa2_1,CPA_C28,Machinery and equipment n.e.c.,product,,CPA2_1,supply
cpa2_1,CPA_C29,"Motor vehicles, trailers and semi-trailers",product,,CPA2_1,supply
cpa2_1,CPA_C30,Other transport equipment,product,,CPA2_1,supply
cpa2_1,CPA_C31_32,Furniture; other manufactured goods,product,,CPA2_1,supply
cpa2_1,CPA_C33,Repair and installation services of machinery and equipment,product,,CPA2_1,supply
cpa2_1,CPA_D35,"Electricity, gas, steam and air conditioning",product,,CPA2_1,supply
cpa2_1,CPA_E36,Natural water; water treatment and supply services,product,,CPA2_1,supply
