year,indicator,origin,origin_is_aggregate,final_demand,unit,value
2016,carbon_dioxide,WORLD,True,TOTAL,THS_T,46885.976
2016,carbon_dioxide,EU27_2020,True,TOTAL,THS_T,29719.429
2016,carbon_dioxide,WORLD,True,P31_S14,THS_T,26686.076
2016,carbon_dioxide,DK,False,TOTAL,THS_T,20128.368
2016,carbon_dioxide,EU27_2020,True,P31_S14,THS_T,17994.13
2016,carbon_dioxide,EXT_EU27_2020,True,TOTAL,THS_T,17166.547
2016,carbon_dioxide,DK,False,P31_S14,THS_T,12975.111
2016,carbon_dioxide,WORLD,True,P51G,THS_T,12908.521
2016,carbon_dioxide,EXT_EU27_2020,True,P31_S14,THS_T,8691.946
2016,carbon_dioxide,EU27_2020,True,P51G,THS_T,6907.853
2016,carbon_dioxide,WORLD,True,P3_S13,THS_T,6306.08
2016,carbon_dioxide,EXT_EU27_2020,True,P51G,THS_T,6000.668
2016,carbon_dioxide,WRL_REST,False,TOTAL,THS_T,4705.581
2016,carbon_dioxide,CN,False,TOTAL,THS_T,4375.594
2016,carbon_dioxide,EU27_2020,True,P3_S13,THS_T,4288.965
2016,carbon_dioxide,DK,False,P51G,THS_T,3708.404
2016,carbon_dioxide,DK,False,P3_S13,THS_T,3161.355
2016,carbon_dioxide,DE,False,TOTAL,THS_T,2845.459
2016,carbon_dioxide,WRL_REST,False,P31_S14,THS_T,2649.87
2016,carbon_dioxide,CN,False,P51G,THS_T,2100.039
2016,carbon_dioxide,EXT_EU27_2020,True,P3_S13,THS_T,2017.115
2016,carbon_dioxide,RU,False,TOTAL,THS_T,1989.942
2016,carbon_dioxide,CN,False,P31_S14,THS_T,1766.229
2016,carbon_dioxide,US,False,TOTAL,THS_T,1579.81
2016,carbon_dioxide,DE,False,P31_S14,THS_T,1445.742
2016,carbon_dioxide,WRL_REST,False,P51G,THS_T,1359.704
2016,carbon_dioxide,PL,False,TOTAL,THS_T,1286.365
2016,carbon_dioxide,DE,False,P51G,THS_T,1003.063
2016,carbon_dioxide,RU,False,P31_S14,THS_T,969.997
2016,carbon_dioxide,NL,False,TOTAL,THS_T,935.768
2016,carbon_dioxide,US,False,P31_S14,THS_T,905.969
2016,carbon_dioxide,UK,False,TOTAL,THS_T,857.211
2016,carbon_dioxide,IN,False,TOTAL,THS_T,713.336
2016,carbon_dioxide,SE,False,TOTAL,THS_T,679.201
2016,carbon_dioxide,RU,False,P51G,THS_T,675.018
2016,carbon_dioxide,PL,False,P31_S14,THS_T,663.846
2016,carbon_dioxide,NO,False,TOTAL,THS_T,662.138
2016,carbon_dioxide,WORLD,True,P52_P53,THS_T,640.37
2016,carbon_dioxide,WRL_REST,False,P3_S13,THS_T,590.065
2016,carbon_dioxide,NL,False,P31_S14,THS_T,587.248
2016,carbon_dioxide,FR,False,TOTAL,THS_T,576.361
2016,carbon_dioxide,UK,False,P31_S14,THS_T,490.677
2016,carbon_dioxide,PL,False,P51G,THS_T,445.479
2016,carbon_dioxide,US,False,P51G,THS_T,434.176
2016,carbon_dioxide,ES,False,TOTAL,THS_T,430.095
2016,carbon_dioxide,IT,False,TOTAL,THS_T,417.298
2016,carbon_dioxide,CN,False,P3_S13,THS_T,396.618
2016,carbon_dioxide,NO,False,P31_S14,THS_T,382.883
2016,carbon_dioxide,IN,False,P31_S14,THS_T,366.931
2016,carbon_dioxide,EXT_EU27_2020,True,P52_P53,THS_T,360.328
2016,carbon_dioxide,SE,False,P31_S14,THS_T,355.937
2016,carbon_dioxide,WORLD,True,P31_S15,THS_T,344.929
2016,carbon_dioxide,TR,False,TOTAL,THS_T,342.254
2016,carbon_dioxide,JP,False,TOTAL,THS_T,342.105
2016,carbon_dioxide,DE,False,P3_S13,THS_T,317.657
2016,carbon_dioxide,FR,False,P31_S14,THS_T,309.629
2016,carbon_dioxide,BE,False,TOTAL,THS_T,303.166
2016,carbon_dioxide,KR,False,TOTAL,THS_T,293.79
2016,carbon_dioxide,CZ,False,TOTAL,THS_T,289.842
2016,carbon_dioxide,EU27_2020,True,P52_P53,THS_T,280.042
2016,carbon_dioxide,CA,False,TOTAL,THS_T,273.457
2016,carbon_dioxide,ZA,False,TOTAL,THS_T,262.078
2016,carbon_dioxide,FI,False,TOTAL,THS_T,255.555
2016,carbon_dioxide,EU27_2020,True,P31_S15,THS_T,248.439
2016,carbon_dioxide,UK,False,P51G,THS_T,239.116
