key,in_text,authors,year,title,source,doi,url,note
aguilar_hernandez_2018,"Aguilar-Hernandez et al., 2018","Aguilar-Hernandez, G. A., Sigüenza-Sanchez, C. P., Donati, F., Rodrigues, J. F. D., & Tukker, A.",2018,Assessing circularity interventions: A review of EEIOA-based studies,"Journal of Economic Structures, 7, 14",10.1186/s40008-018-0113-3,,Taxonomy and causality sequences for modelling circularity interventions in EEIOA; source of the reference/counterfactual formalism used in analysis.scenario_engine
belkhir_elmeligi_2019,"Belkhir & Elmeligi, 2019","Belkhir, L., & Elmeligi, A.",2019,Carbon footprint of the global pharmaceutical industry and relative impact of its major players,"Journal of Cleaner Production, 214, 185-194",10.1016/j.jclepro.2018.11.204,,Context for the pharmaceutical hotspot
bulle_2019,"Bulle et al., 2019","Bulle, C., Margni, M., Patouillard, L., Boulay, A.-M., Bourgault, G., De Bruille, V., Cao, V., Hauschild, M., Henderson, A., Humbert, S., Kashef-Haghighi, S., Kounina, A., Laurent, A., Levasseur, A., Liard, G., Rosenbaum, R. K., Roy, P.-O., Shaked, S., Fantke, P., & Jolliet, O.",2019,IMPACT World+: A globally regionalized life cycle impact assessment method,"The International Journal of Life Cycle Assessment, 24(9), 1653-1674",10.1007/s11367-019-01583-0,,Characterisation method computed alongside the DESIRE workbook in layer 16
cabernard_2019,"Cabernard et al., 2019","Cabernard, L., Pfister, S., & Hellweg, S.",2019,A new method for analyzing sustainability performance of global supply chains and its application to material resources,"Science of the Total Environment, 684, 164-177",10.1016/j.scitotenv.2019.04.434,,Target-sector perspective and the double-counting correction reproduced in layer 03
donati_2020,"Donati et al., 2020","Donati, F., Aguilar-Hernandez, G. A., Sigüenza-Sánchez, C. P., de Koning, A., Rodrigues, J. F. D., & Tukker, A.",2020,Modeling the circular economy in environmentally extended input-output tables: Methods software and case study,"Resources, Conservation and Recycling, 152, 104508",10.1016/j.resconrec.2019.104508,,Change-coefficient and substitution formalism (k_a = k_t k_p) implemented in analysis.scenario_engine
doucet_2025,"Doucet et al., 2025","Doucet, C., Lioussis, M., & Yamano, N.",2025,Measuring greenhouse gas emissions in the health sector,OECD Health Working Papers No. 179,10.1787/4d15c6ef-en,,First-tier Scope 2 convention reported as a sensitivity in layer 02
eckelman_sherman_2016,"Eckelman & Sherman, 2016","Eckelman, M. J., & Sherman, J.",2016,Environmental impacts of the U.S. health care system and effects on public health,"PLOS ONE, 11(6), e0157014",10.1371/journal.pone.0157014,,Comparator replicated in layer 14
hertwich_2011,"Hertwich, 2011","Hertwich, E. G.",2011,The life cycle environmental impacts of consumption,"Economic Systems Research, 23(1), 27-47",10.1080/09535314.2010.536905,,Capital endogenisation as a modelling choice; sizes what is at stake
hertwich_wood_2018,"Hertwich & Wood, 2018","Hertwich, E. G., & Wood, R.",2018,The growing importance of scope 3 greenhouse gas emissions from industry,"Environmental Research Letters, 13(10), 104013",10.1088/1748-9326/aae19a,,Scope partition E_Z = m-hat Z with m = s L; the study's reported Scope 2 convention
huijbregts_2017,"Huijbregts et al., 2017","Huijbregts, M. A. J., Steinmann, Z. J. N., Elshout, P. M. F., Stam, G., Verones, F., Vieira, M., Zijp, M., Hollander, A., & van Zelm, R.",2017,ReCiPe2016: A harmonised life cycle impact assessment method at midpoint and endpoint level,"The International Journal of Life Cycle Assessment, 22(2), 138-147",10.1007/s11367-016-1246-y,,Characterisation cited by the submitted manuscript; see the correction in the assessment note
jeswani_azapagic_2019,"Jeswani & Azapagic, 2019","Jeswani, H. K., & Azapagic, A.",2019,Life cycle environmental impacts of inhalers,"Journal of Cleaner Production, 237, 117733",10.1016/j.jclepro.2019.117733,,Propellant and device-class scenarios P6 and P7; source of the dry-powder burden shift
kagawa_2009,"Kagawa et al., 2009","Kagawa, S., Nansai, K., & Kudoh, Y.",2009,Does product lifetime extension increase our income at the expense of energy consumption?,"Energy Economics, 31(4), 597-606",10.1016/j.eneco.2008.08.011,,Product lifetime extension in an input-output setting; scenario P4
lenzen_2010,"Lenzen et al., 2010","Lenzen, M., Wood, R., & Wiedmann, T.",2010,Uncertainty analysis for multi-region input-output models - A case study of the UK's carbon footprint,"Economic Systems Research, 22(1), 43-63",10.1080/09535311003661226,,Lognormal multipliers as the standard choice for input-output uncertainty propagation
lenzen_2020,"Lenzen et al., 2020","Lenzen, M., Malik, A., Li, M., Fry, J., Weisz, H., Pichler, P.-P., Chaves, L. S. M., Capon, A., & Pencheon, D.",2020,The environmental footprint of health care: A global assessment,"The Lancet Planetary Health, 4(7), e271-e279",10.1016/S2542-5196(20)30121-2,,"Danish health-care GHG footprint 2.84 +/- 0.24 Mt (SI table 7.1), the 8.35 % calibrating the MRIO uncertainty factor"
leontief_1970,"Leontief, 1970","Leontief, W.",1970,Environmental repercussions and the economic structure: An input-output approach,"The Review of Economics and Statistics, 52(3), 262-271",10.2307/1926294,,Origin of the environmentally extended input-output model
malik_2018,"Malik et al., 2018","Malik, A., Lenzen, M., McAlister, S., & McGain, F.",2018,The carbon footprint of Australian health care,"The Lancet Planetary Health, 2(1), e27-e35",10.1016/S2542-5196(17)30180-8,,Output-prorated health sub-sector concordance reproduced in layer 07; includes capital
malik_2021,"Malik et al., 2021","Malik, A., Padget, M., Carter, S., Wakiyama, T., Maitland-Scott, I., Vyas, A., Boylan, S., Mulcahy, G., Li, M., Lenzen, M., Charlson, F., Stanaway, J., & Feigin, V.",2021,Environmental impacts of Australia's largest health system,"Resources, Conservation and Recycling, 169, 105556",10.1016/j.resconrec.2021.105556,,Sub-sector environmental detail; not reproducible on a one-industry MRIO
miller_blair_2009,"Miller & Blair, 2009","Miller, R. E., & Blair, P. D.",2009,Input-output analysis: Foundations and extensions (2nd ed.),Cambridge University Press,10.1017/CBO9780511626982,,Standard reference for the Leontief inverse and structural decomposition
moran_wood_2014,"Moran & Wood, 2014","Moran, D., & Wood, R.",2014,"Convergence between the Eora, WIOD, EXIOBASE, and OpenEU's consumption-based carbon accounts","Economic Systems Research, 26(3), 245-261",10.1080/09535314.2014.935298,,Cross-database dispersion of national consumption-based accounts
moran_2018,"Moran et al., 2018","Moran, D., Wood, R., & Rodrigues, J. F. D.",2018,A note on the magnitude of the feedback effect in environmentally extended multi-region input-output tables,"Journal of Industrial Ecology, 22(3), 532-539",10.1111/jiec.12658,,Size of the feedback effect; relevant to the sea-transport reallocation
onat_2023,"Onat et al., 2023","Onat, N. C., Mandouri, J., Kucukvar, M., Sen, B., Abbasi, S. A., Alhajyaseen, W., Kutty, A. A., Jabbar, R., Contreras, M. T., & Jraisat, L.",2023,Rebound effects undermine carbon footprint reduction potential of autonomous electric vehicles,"Nature Communications, 14, 6258",10.1038/s41467-023-41992-2,,Why a demand-reduction scenario reported without rebound overstates its saving
palm_2019,"Palm et al., 2019","Palm, V., Wood, R., Berglund, M., Dawkins, E., Finnveden, G., Schmidt, S., & Steinbach, N.",2019,Environmental pressures from Swedish consumption - A hybrid multi-regional input-output approach,"Journal of Cleaner Production, 228, 634-644",10.1016/j.jclepro.2019.04.181,,The SNAC method: coupling a national account to an MRIO
pichler_2019,"Pichler et al., 2019","Pichler, P.-P., Jaccard, I. S., Weisz, U., & Weisz, H.",2019,International comparison of health care carbon footprints,"Environmental Research Letters, 14(6), 064004",10.1088/1748-9326/ab19e1,,Cross-country comparator; excludes capital
rodrigues_2018,"Rodrigues et al., 2018","Rodrigues, J. F. D., Moran, D., Wood, R., & Behrens, P.",2018,Uncertainty of consumption-based carbon accounts,"Environmental Science & Technology, 52(13), 7577-7586",10.1021/acs.est.8b00632,,Correlation between country accounts; why assuming independence understates uncertainty
schulte_2024,"Schulte et al., 2024","Schulte, S., Jakobs, A., & Pauliuk, S.",2024,Estimating the uncertainty of the greenhouse gas emission accounts in global multi-regional input-output analysis,"Earth System Science Data, 16(6), 2669-2700",10.5194/essd-16-2669-2024,,Country-level versus sector-level uncertainty; the limitation stated with the Monte Carlo interval
