SAggDescription,Global warming (ktCO2eq)
Transport,1770.7444384704888
Waste management and disposal,167.68148449147023
Construction,25.03389268187166
Coal and Petroleum,23.78487351089341
General and special Machinery,21.524928302744428
Metal Products,17.15957063724829
Natural gas and gaseous fuels,15.044610411575041
Paper Products,13.04096666376772
Furniture and timber,12.579345780343553
"Steam, hot water supply and water distribution",11.55975303350482
Minerals and Metals,9.520714940745622
Non-metallic mineral products,8.172170823409418
Textile,4.615055673991259
Transport Equipment,1.7183701589327343
